mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,197,199,200,201,202,n_gl
hypertension,Device,renal denervation,,,2,,,,2,,2
hypertension,Drug,5 mg,2,,,,,1,1,,2
hypertension,Drug,act-385781a (actelion epoprostenol),2,,,,,,2,,2
hypertension,Drug,aliskiren/amlodipine,2,,,,,1,1,,2
hypertension,Drug,amlodipine (norvascâ®),2,,,,,,2,,2
hypertension,Drug,amlodipine 10 mg,2,,,,,2,,,2
hypertension,Drug,amlodipine 5mg,2,,,,,,2,,2
hypertension,Drug,"amlodipine, if necessary",2,,,,,2,,,2
hypertension,Drug,amosartanâ® tab,2,,,,,,2,,2
hypertension,Drug,atorvastatin,1,,1,,,1,1,,2
hypertension,Drug,azilsartan,2,,,,,,2,,2
hypertension,Drug,bimatoprost,2,,,,,1,1,,2
hypertension,Drug,brimonidine tartrate 0.2%,2,,,,,2,,,2
hypertension,Drug,brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination,2,,,,,2,,,2
hypertension,Drug,brinzolamide 1.0%,2,,,,,1,1,,2
hypertension,Drug,"calcium channel blockers (amlodipine, azelnidipine)",2,,,,,1,1,,2
hypertension,Drug,candemore tablet,1,,1,,,,2,,2
hypertension,Drug,cosopt,1,,1,,,1,1,,2
hypertension,Drug,cozaarâ® plus pro tab,2,,,,,,2,,2
hypertension,Drug,dorzolamide hcl 2%,2,,,,,2,,,2
hypertension,Drug,duowellâ®,2,,,,,,2,,2
hypertension,Drug,empagliflozin,2,,,,,,2,,2
hypertension,Drug,febuxostat,2,,,,,,2,,2
hypertension,Drug,"high dose of cozaarâ®, once daily",2,,,,,2,,,2
hypertension,Drug,high dose of telmisartan,2,,,,,2,,,2
hypertension,Drug,hydrochlorothiazide 12.5mg,2,,,,,1,1,,2
hypertension,Drug,hydrochlorothiazide 25 mg,2,,,,,2,,,2
hypertension,Drug,hypromellose 0.3%,2,,,,,,2,,2
hypertension,Drug,ibuprofen,2,,,,,1,1,,2
hypertension,Drug,indapamide,2,,,,,,2,,2
hypertension,Drug,inhaled iloprost,,,2,,,2,,,2
hypertension,Drug,irbesartan (aprovel),2,,,,,2,,,2
hypertension,Drug,labetalol,2,,,,,,2,,2
hypertension,Drug,lacidipine,2,,,,,2,,,2
hypertension,Drug,latanoprost 0.005%,2,,,,,1,1,,2
hypertension,Drug,latanoprost 0.005% ophthalmic solution,2,,,,,1,1,,2
hypertension,Drug,lercanidipine,1,,1,,,,2,,2
hypertension,Drug,liraglutide,2,,,,,,2,,2
hypertension,Drug,"low dose of cozaarâ®, once daily",2,,,,,2,,,2
hypertension,Drug,low dose of telmisartan,2,,,,,2,,,2
hypertension,Drug,"nifedipine (adalat, baya1040)",2,,,,,1,1,,2
hypertension,Drug,nifedipine gits (adalatâ® xl 30,2,,,,,,2,,2
hypertension,Drug,non-arb,2,,,,,1,1,,2
hypertension,Drug,olmesartan,2,,,,,,2,,2
hypertension,Drug,"olmesartan medoxomil / hydrochlorothiazide, if necessary / amlodipine, if necessary",2,,,,,2,,,2
hypertension,Drug,olmesartan medoxomil ï¼‹azelnidipine,2,,,,,2,,,2
hypertension,Drug,perindopril/amlodipine,2,,,,,,2,,2
hypertension,Drug,pioglitazone,2,,,,,1,1,,2
hypertension,Drug,telmitrendâ®tab. 80mg,2,,,,,,2,,2
hypertension,Drug,timolol 0.5%,2,,,,,,2,,2
hypertension,Drug,timolol 0.5% ophthalmic solution,2,,,,,,2,,2
hypertension,Drug,timolol maleate 0.5% fixed combination,2,,,,,2,,,2
hypertension,Drug,tracleerâ®,2,,,,,2,,,2
hypertension,Drug,travoprost 0.004% ophthalmic solution,2,,,,,,2,,2
hypertension,Drug,travoprost ophthalmic solution 0.004%,2,,,,,,2,,2
hypertension,Drug,treprostinil,1,,1,,,1,1,,2
hypertension,Drug,valsartan 160 mg,2,,,,,2,,,2
hypertension,Drug,valsartan/hctz,2,,,,,2,,,2
hypertension,Procedure,renal denervation,1,,1,,,,2,,2
"hypertension, portal",placebo,placebo,3,,,,,1,2,,3
"hypertension, pregnancy-induced",Drug,labetalol,2,,,,,,2,,2
"hypertension, pregnancy-induced",Drug,nifedipine,2,,,,,,2,,2
"hypertension, pulmonary",placebo,placebo,7,1,4,,,,11,1,12
"hypertension, pulmonary",Drug,sildenafil,6,,2,,,1,7,,8
"hypertension, pulmonary",Drug,ambrisentan,2,,1,,,,3,,3
"hypertension, pulmonary",Drug,bosentan,2,,1,,,2,1,,3
"hypertension, pulmonary",Drug,ranolazine,3,,,,,,3,,3
"hypertension, pulmonary",Drug,treprostinil sodium,2,,1,,,2,1,,3
"hypertension, pulmonary",Drug,acetazolamide,1,,1,,,,2,,2
"hypertension, pulmonary",Drug,inhaled iloprost,,,2,,,2,,,2
"hypertension, pulmonary",Drug,sildenafil citrate,2,,,,,,2,,2
"hypertension, pulmonary",Drug,tadalafil,2,,,,,,2,,2
hypertriglyceridemia,placebo,placebo,6,,1,,,2,5,,7
hypertriglyceridemia,Drug,fenofibrate,3,,1,,,1,3,,4
hypertriglyceridemia,Drug,lovaza,3,,,,,1,2,,3
hypertriglyceridemia,Drug,antara (fenofibrate),2,,,,,2,,,2
hypertriglyceridemia,Drug,omega,2,,,,,,2,,2
hypertrophy,placebo,placebo,6,,1,,,1,6,,7
hypertrophy,Drug,allopurinol,3,,,,,1,2,,3
hypertrophy,Drug,amlodipine,2,,,,,1,1,,2
hypertrophy,Drug,mometasone furoate nasal spray,1,,1,,,2,,,2
"hypertrophy, left ventricular",placebo,placebo,4,,,,,1,3,,4
"hypertrophy, left ventricular",Drug,allopurinol,3,,,,,1,2,,3
hyperuricemia,Drug,febuxostat,2,,1,,,,3,,3
hyperuricemia,Drug,allopurinol,2,,,,,,2,,2
hypoglycemia,Drug,vildagliptin,3,,,,,,3,,3
hypoglycemia,placebo,placebo,3,,,,,,3,,3
hypoglycemia,Drug,diazoxide,1,1,,,,,1,1,2
hypoglycemia,Drug,glargine,1,,1,,,,2,,2
hypoglycemia,Drug,glimepiride,1,,1,,,,2,,2
hypoglycemia,Drug,human insulin,2,,,,,1,1,,2
hypoglycemia,Drug,insulin glargine,2,,,,,2,,,2
hypoglycemia,Drug,sitagliptin,,,2,,,1,1,,2
hypogonadism,Drug,testosterone,9,,1,,,2,8,,10
hypogonadism,placebo,placebo,7,,2,,,,9,,9
hypogonadism,Drug,dutasteride,2,,,,,,2,,2
hypogonadism,Drug,luverisâ® 25 iu,,,2,,,,2,,2
hypogonadism,Drug,luverisâ® 75 iu,,,2,,,,2,,2
hypogonadism,Drug,natestoâ® (4.5% nasal testosterone) nasal gel,2,,,,,,2,,2
hypogonadism,Drug,testosterone 250mg injection,2,,,,,,2,,2
hypogonadism,Drug,testosterone undecanoate,2,,,,,,2,,2
hypokinesia,Drug,tribulus terrestris,2,,,,,,2,,2
hypokinesia,placebo,placebo,2,,,,,,2,,2
hyponatremia,placebo,placebo,2,,2,,,1,3,,4
hyponatremia,Drug,conivaptan,1,,1,,,1,1,,2
hyponatremia,Drug,tolvaptan,,,2,,,,2,,2
hypotension,Drug,phenylephrine,9,,,,,,9,,9
hypotension,placebo,placebo,6,,,,,2,4,,6
hypotension,Drug,norepinephrine,5,,,,,,5,,5
hypotension,Drug,ephedrine,3,,,,,,3,,3
hypotension,Drug,phenylephrine infusion,2,,1,,,2,1,,3
hypotension,Drug,saline,3,,,,,,3,,3
hypotension,Drug,bupivacaine,2,,,,,,2,,2
hypotension,Drug,epinephrine,2,,,,,,2,,2
hypotension,Drug,kg,2,,,,,,2,,2
hypotension,Drug,midodrine,2,,,,,,2,,2
hypotension,Drug,midodrine hcl,2,,,,,,2,,2
hypotension,Drug,normal saline,2,,,,,,2,,2
hypotension,Drug,ondansetron,2,,,,,,2,,2
hypotension,Drug,phenylephrine bolus,2,,,,,1,1,,2
"hypotension, orthostatic",placebo,placebo,3,,,,,1,2,,3
"hypotension, orthostatic",Drug,midodrine,2,,,,,,2,,2
"hypotension, orthostatic",Drug,midodrine hcl,2,,,,,,2,,2
hypothermia,Procedure,mild induced hypothermia (32-34â°c),,,2,,,,2,,2
hypothyroidism,Drug,levothyroxine,5,,1,,,,6,,6
hypothyroidism,placebo,placebo,5,,,,,,5,,5
hypotrichosis,Drug,bimatoprost ophthalmic solution 0.03%,2,,,,,,2,,2
hypotrichosis,placebo,placebo,2,,,,,,2,,2
hypoxia,placebo,placebo,6,,2,,,1,7,,8
hypoxia,Drug,acetazolamide,2,,,,,,2,,2
hypoxia,Drug,methazolamide,2,,,,,,2,,2
hysteria,Drug,sertraline,2,,,,,1,1,,2
idiopathic pulmonary fibrosis,Drug,nintedanib,4,1,,,,,4,1,5
idiopathic pulmonary fibrosis,Drug,pirfenidone,3,,,,,,3,,3
idiopathic pulmonary fibrosis,Device,littmann â®,2,,,,,,2,,2
ileus,Drug,alvimopan,1,,1,,,,2,,2
ileus,placebo,placebo,1,,1,,,,2,,2
immunologic deficiency syndromes,Drug,maraviroc,3,,,,,,3,,3
immunologic deficiency syndromes,Drug,lopinavir,1,,1,,,,2,,2
immunologic deficiency syndromes,Drug,nevirapine,2,,,,,2,,,2
immunologic deficiency syndromes,Drug,raltegravir,,,2,,,,2,,2
impetigo,Drug,fucidinâ® cream,,,2,,,2,,,2
incisional hernia,Drug,tisseelâ®,2,,,,,,2,,2
infarction,Drug,ticagrelor,15,,1,,,,16,,16
infarction,Drug,clopidogrel,13,,1,,,1,12,1,14
infarction,placebo,placebo,11,,,,,1,10,,11
infarction,Drug,aspirin,9,,,,,3,5,1,9
infarction,Drug,abciximab,7,,,,,5,2,,7
infarction,Drug,cilostazol,7,,,,,6,1,,7
infarction,Drug,atorvastatin,6,,,,,3,3,,6
infarction,Drug,prasugrel,5,,,,,,5,,5
infarction,Drug,tirofiban,5,,,,,2,3,,5
infarction,Drug,bivalirudin,4,,,,,,4,,4
infarction,Drug,cangrelor,3,,1,,,,4,,4
infarction,Procedure,primary pci,4,,,,,2,2,,4
infarction,Device,everolimus eluting stent,3,,,,,,3,,3
infarction,Drug,heparin,3,,,,,,3,,3
infarction,Drug,saline,3,,,,,1,2,,3
infarction,Drug,"ð¾ral intake of study drug capsules; study drug - cardionat â® (trimethylhydrazinium propionate dihydrate), oral capsules 250 mg",2,,,,,,2,,2
infarction,Drug,eptifibatide,2,,,,,1,1,,2
infarction,Drug,esomeprazole 20 mg daily,2,,,,,,2,,2
infarction,Drug,exenatide,2,,,,,1,1,,2
infarction,Drug,exenatide byettaâ® (amylin-lilly),2,,,,,,2,,2
infarction,Drug,famotidine 40 mg daily,2,,,,,,2,,2
infarction,Drug,insulin,2,,,,,2,,,2
infarction,Drug,morphine,2,,,,,,2,,2
infarction,Drug,nitroglycerin,2,,,,,1,1,,2
infarction,Drug,simvastatin,2,,,,,2,,,2
infarction,Drug,tenecteplase,,,2,,,2,,,2
infarction,Drug,unfractionated heparin,1,,1,,,1,1,,2
infarction,Drug,vorapaxar,2,,,,,,2,,2
infarction,Procedure,thrombectomy,1,,1,,,,2,,2
infection,placebo,placebo,19,,5,,,3,21,,24
infection,Drug,amoxicillin,9,,1,,,2,8,,10
infection,Drug,vancomycin,7,,3,,,2,8,,10
infection,Drug,metronidazole,9,,,,,3,6,,9
infection,Drug,daptomycin,4,,4,,,2,6,,8
infection,Drug,cefuroxime,5,,,,,,5,,5
infection,Drug,lopinavir,4,,1,,,4,1,,5
infection,Drug,ritonavir,3,,2,,,2,2,1,5
infection,Drug,tigecycline,5,,,,,4,1,,5
infection,Drug,tenofovir,4,,,,,3,1,,4
infection,Drug,azithromycin,2,,1,,,2,1,,3
infection,Drug,chlorhexidine,3,,,,,1,2,,3
infection,Drug,ciprofloxacin,3,,,,,,3,,3
infection,Drug,clarithromycin,3,,,,,,3,,3
infection,Drug,clindamycin,3,,,,,1,2,,3
infection,Drug,co-amoxiclav,3,,,,,,3,,3
infection,Drug,efavirenz,3,,,,,2,1,,3
infection,Drug,everolimus,3,,,,,,3,,3
infection,Drug,fidaxomicin,2,,1,,,,3,,3
infection,Drug,imipenem,2,,1,,,,3,,3
infection,Drug,lamivudine,3,,,,,1,2,,3
infection,Drug,levofloxacin,2,,1,,,,3,,3
infection,Drug,lopinavir/ritonavir,2,,1,,,2,1,,3
infection,Drug,nitrofurantoin,3,,,,,1,2,,3
infection,Drug,raltegravir,3,,,,,,3,,3
infection,Drug,trimethoprim-sulfamethoxazole,3,,,,,1,2,,3
infection,Drug,voriconazole,2,,1,,,3,,,3
infection,Biological,fluzoneâ® 2012-2013 formula ndc no 498281-012-50,2,,,,,,2,,2
infection,Biological,"split-virion, non-adjuvanted h1n1 vaccine of 15 î¼g",2,,,,,,2,,2
infection,Device,emdogainâ®,2,,,,,,2,,2
infection,Device,tyrxâ„¢ absorbable antibacterial envelope,2,,,,,,2,,2
infection,Drug,3tc,2,,,,,,2,,2
infection,Drug,albendazole,2,,,,,1,1,,2
infection,Drug,ampicillin-sulbactam,2,,,,,1,1,,2
infection,Drug,antibiotics,2,,,,,,2,,2
infection,Drug,atazanavir,2,,,,,1,1,,2
infection,Drug,"bismuth-containing quadruple therapy (rabeprazole, tripotassium dicitrate bismuthate, metronidazole, tetracycline)",2,,,,,,2,,2
infection,Drug,ceftaroline fosamil,2,,,,,,2,,2
infection,Drug,ceftriaxone sodium,2,,,,,1,1,,2
infection,Drug,chlorhexidine gluconate,2,,,,,,2,,2
infection,Drug,chloroquine,2,,,,,,2,,2
infection,Drug,dalbavancin,2,,,,,,2,,2
infection,Drug,darunavir,1,,1,,,,2,,2
infection,Drug,doripenem,2,,,,,,2,,2
infection,Drug,emtricitabine,2,,,,,2,,,2
infection,Drug,enfuvirtide,2,,,,,2,,,2
infection,Drug,enfuvirtide [fuzeon],2,,,,,2,,,2
infection,Drug,ergoferon,2,,,,,,2,,2
infection,Drug,esomeprazole,2,,,,,,2,,2
infection,Drug,etravirine,1,,1,,,,2,,2
infection,Drug,fosfomycin-trometamol,2,,,,,,2,,2
infection,Drug,gynomaxâ® xl vaginal ovule,2,,,,,,2,,2
infection,Drug,"high-dose dual therapy (rabeprazole, amoxicillin)",2,,,,,,2,,2
infection,Drug,incremental,2,,,,,,2,,2
infection,Drug,itraconazole,2,,,,,1,1,,2
infection,Drug,kaletra,1,,1,,,1,1,,2
infection,Drug,lansoprazole,2,,,,,,2,,2
infection,Drug,linezolid,2,,,,,1,1,,2
infection,Drug,maraviroc,1,,1,,,,2,,2
infection,Drug,mebendazole,2,,,,,,2,,2
infection,Drug,meropenem,1,,1,,,1,1,,2
infection,Drug,moxifloxacin,2,,,,,1,1,,2
infection,Drug,"mupirocin calcium ointment, 2%",2,,,,,1,1,,2
infection,Drug,"peginterferon alfa-2a, ribavirin, epoetin-î²",2,,,,,2,,,2
infection,Drug,primaquine,2,,,,,,2,,2
infection,Drug,ribavirin,2,,,,,,2,,2
infection,Drug,sulbactam,2,,,,,,2,,2
infection,Drug,telithromycin,1,,1,,,2,,,2
infection,Drug,tetracycline,2,,,,,,2,,2
infection,Drug,truvada,2,,,,,2,,,2
infection,Drug,usual care,2,,,,,,2,,2
infection,Drug,valacyclovir,2,,,,,,2,,2
infertility,Drug,corifollitropin alfa,5,,1,,,,6,,6
infertility,placebo,placebo,5,,1,,,2,4,,6
infertility,Drug,follitropin beta,4,,,,,2,2,,4
infertility,Drug,menotropin,4,,,,,1,3,,4
infertility,Drug,rfsh,4,,,,,,4,,4
infertility,Drug,estradiol valerate,3,,,,,,3,,3
infertility,Drug,hcg,2,,1,,,,3,,3
infertility,Drug,hmg,3,,,,,,3,,3
infertility,Drug,human chorionic gonadotropin,3,,,,,1,2,,3
infertility,Drug,letrozole,3,,,,,,3,,3
infertility,Drug,metformin,2,,1,,,1,2,,3
infertility,Drug,progesterone in oil,3,,,,,1,2,,3
infertility,Drug,recombinant fsh,2,,1,,,,3,,3
infertility,Drug,vaginal progesterone,3,,,,,,3,,3
infertility,Drug,antagon â„¢,2,,,,,2,,,2
infertility,Drug,cetrotideâ®,2,,,,,2,,,2
infertility,Drug,clomifene citrate,2,,,,,,2,,2
infertility,Drug,clomiphene,2,,,,,1,1,,2
infertility,Drug,endometrinâ® plus progesterone in oil (pio),2,,,,,,2,,2
infertility,Drug,fast-release orodispersible tramadol(tradonal odisâ®),2,,,,,2,,,2
infertility,Drug,follitrophin alpha,2,,,,,,2,,2
infertility,Drug,follitropin alfa,2,,,,,1,1,,2
infertility,Drug,ganirelix,2,,,,,2,,,2
infertility,Drug,gonal-fâ®,,,2,,,,2,,2
infertility,Drug,gonal fâ® prefilled pen,2,,,,,,2,,2
infertility,Drug,"growth hormone (norditropin, novo nordisk)",2,,,,,,2,,2
infertility,Drug,leuprolide acetate,2,,,,,1,1,,2
infertility,Drug,menopur,2,,,,,,2,,2
infertility,Drug,menopurâ® inj.,2,,,,,,2,,2
infertility,Drug,menotrophin,2,,,,,1,1,,2
infertility,Drug,normal saline,2,,,,,,2,,2
infertility,Drug,subcutaneous progesterone,2,,,,,,2,,2
infertility,Procedure,varicocelectomy,2,,,,,,2,,2
"infertility, female",Drug,"growth hormone (norditropin, novo nordisk)",2,,,,,,2,,2
"infertility, female",Drug,menopurâ® inj.,2,,,,,,2,,2
"infertility, male",Procedure,varicocelectomy,2,,,,,,2,,2
inflammation,placebo,placebo,29,2,4,,1,5,27,2,35
inflammation,Biological,adalimumab,3,,,,,,3,,3
inflammation,Drug,atorvastatin,3,,,,,1,2,,3
inflammation,Device,emdogainâ®,2,,,,,,2,,2
inflammation,Dietary Supplement,tart cultivar montmorency cherry juice,2,,,,,,2,,2
inflammation,Drug,adalimumab,2,,,,,,2,,2
inflammation,Drug,ascorbic acid,2,,,,,1,1,,2
inflammation,Drug,bromfenac,2,,,,,,2,,2
inflammation,Drug,celecoxib,1,1,,,,,1,1,2
inflammation,Drug,exenatide,2,,,,,1,1,,2
inflammation,Drug,fluticasone,2,,,,,1,1,,2
inflammation,Drug,hfa-bdp,2,,,,,,2,,2
inflammation,Drug,nepafenac,2,,,,,,2,,2
inflammation,Drug,permixonâ® 160 mg,2,,,,,,2,,2
inflammation,Drug,raltegravir,2,,,,,,2,,2
inflammation,Drug,saxagliptin,1,,1,,,,2,,2
inflammation,Drug,testosterone 250mg injection,2,,,,,,2,,2
inflammation,placebo,placebo matching permixonâ® 160 mg,2,,,,,,2,,2
inflammatory bowel diseases,Biological,shingrix,,2,,,,,,2,2
"influenza, human",placebo,placebo,16,,4,,,7,13,,20
"influenza, human",Drug,oseltamivir,11,,2,,,4,9,,13
"influenza, human",Biological,flumistâ®,6,,4,,,,10,,10
"influenza, human",Biological,fluzoneâ®,4,,4,,,,8,,8
"influenza, human",Biological,fluarixâ„¢,6,,,,,2,4,,6
"influenza, human",Biological,trivalent inactivated influenza vaccine,6,,,,,3,3,,6
"influenza, human",Biological,trivalent influenza vaccine,6,,,,,,6,,6
"influenza, human",Biological,flumist,5,,,,,4,1,,5
"influenza, human",Biological,fluad,4,,,,,,4,,4
"influenza, human",Biological,fluzone,4,,,,,2,2,,4
"influenza, human",Biological,fluzoneâ® (intramuscular),4,,,,,,4,,4
"influenza, human",Biological,"fluzoneâ® quadrivalent influenza vaccine, no preservative",4,,,,,,4,,4
"influenza, human",Biological,inflexal v,4,,,,,2,2,,4
"influenza, human",Biological,influenza virus vaccine (fluzoneâ®),4,,,,,4,,,4
"influenza, human",Biological,live attenuated influenza vaccine,3,,1,,,,4,,4
"influenza, human",Biological,influenza vaccine,3,,,,,1,2,,3
"influenza, human",Biological,intanza,3,,,,,,3,,3
"influenza, human",Biological,laiv,3,,,,,,3,,3
"influenza, human",Biological,tiv,3,,,,,,3,,3
"influenza, human",Biological,2011-2012 flumistâ®,2,,,,,,2,,2
"influenza, human",Biological,adimflu-s,2,,,,,,2,,2
"influenza, human",Biological,arepanrix,2,,,,,,2,,2
"influenza, human",Biological,arepanrixâ„¢,2,,,,,,2,,2
"influenza, human",Biological,csl limited influenza virus vaccine (afluriaâ®),2,,,,,2,,,2
"influenza, human",Biological,enziraâ® vaccine,2,,,,,,2,,2
"influenza, human",Biological,fluadâ® influenza vaccine,2,,,,,,2,,2
"influenza, human",Biological,fluarixtm,2,,,,,1,1,,2
"influenza, human",Biological,flucelvax inactivated influenza vaccine,2,,,,,,2,,2
"influenza, human",Biological,flumistâ® (intranasal),2,,,,,,2,,2
"influenza, human",Biological,flumistâ® 2009-2010 formula,2,,,,,2,,,2
"influenza, human",Biological,fluviralâ®,2,,,,,,2,,2
"influenza, human",Biological,"fluzone iâ®ntradermal vaccine, 2014-2015 formulation",2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ® (im),2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ® 2009-2010 formula,2,,,,,2,,,2
"influenza, human",Biological,fluzoneâ® 2012-2013 formula ndc no 498281-012-50,2,,,,,,2,,2
"influenza, human",Biological,"fluzoneâ® high-dose, influenza virus vaccine (2013-2014 formulation)",2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ® intradermal (id),2,,,,,,2,,2
"influenza, human",Biological,"fluzoneâ® intradermal, influenza virus vaccine (2013-2014 formulation),",2,,,,,,2,,2
"influenza, human",Biological,"fluzoneâ® quadrivalent influenza virus vaccine, no preservative",2,,,,,,2,,2
"influenza, human",Biological,"fluzoneâ® quadrivalent vaccine, 2014-2015 formulation",2,,,,,,2,,2
"influenza, human",Biological,"fluzoneâ® quadrivalent, influenza virus vaccine (2013-2014 formulation),",2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ® standard iiv3,2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ® standard iiv3 pediatric dose,2,,,,,,2,,2
"influenza, human",Biological,fluzoneâ®: influenza virus vaccine,2,,,,,2,,,2
"influenza, human",Biological,fluzoneâ®: influenza virus vaccine 2004-2005 formulation,2,,,,,2,,,2
"influenza, human",Biological,"fluzoneâ®: influenza virus vaccine, no preservative: pediatric dose",2,,,,,,2,,2
"influenza, human",Biological,"fluzoneâ®; influenza virus vaccine, no preservative",2,,,,,,2,,2
"influenza, human",Biological,"gcfluâ® influenza vaccine (split virion, inactivated)",2,,,,,,2,,2
"influenza, human",Biological,havrixâ„¢ junior,2,,,,,,2,,2
"influenza, human",Biological,high-dose tiv,2,,,,,,2,,2
"influenza, human",Biological,high dose fluzoneâ® (intramuscular),2,,,,,,2,,2
"influenza, human",Biological,idflu15î¼g,2,,,,,,2,,2
"influenza, human",Biological,idflu9î¼g,2,,,,,,2,,2
"influenza, human",Biological,idfluâ„¢: split virion inactivated influenza vaccine,2,,,,,,2,,2
"influenza, human",Biological,inactivated influenza vaccine,1,,1,,,,2,,2
"influenza, human",Biological,infanrix hexa,2,,,,,,2,,2
"influenza, human",Biological,influenza vaccination,2,,,,,,2,,2
"influenza, human",Biological,influenza virus vaccine (2006-2007 fluzoneâ® vaccine),2,,,,,2,,,2
"influenza, human",Biological,"influenza virus vaccine, fluzoneâ®",2,,,,,2,,,2
"influenza, human",Biological,influenza virus vaccine: fluzoneâ® 2011-2012 formulation,2,,,,,,2,,2
"influenza, human",Biological,influenza virus vaccine: fluzoneâ® 2012-2013 formulation,2,,,,,,2,,2
"influenza, human",Biological,influenza virus vaccine: fluzoneâ® high-dose 2011-2012 formulation,2,,,,,,2,,2
"influenza, human",Biological,influenza virus vaccine: fluzoneâ® high-dose 2012-2013 formulation,2,,,,,,2,,2
"influenza, human",Biological,influenza virus vaccine: fluzoneâ® intradermal 2012-2013 formulation,2,,,,,,2,,2
"influenza, human",Biological,live attenuated influenza vaccine (laiv),2,,,,,,1,1,2
"influenza, human",Biological,monovalent influenza vaccine,2,,,,,,2,,2
"influenza, human",Biological,prepandrixâ„¢,2,,,,,,2,,2
"influenza, human",Biological,"seasonal trivalent influenza vaccine, anfluâ®",2,,,,,,2,,2
"influenza, human",Biological,"split-virion, adjuvanted h1n1 vaccine of 15 î¼g per dose",2,,,,,2,,,2
"influenza, human",Biological,"split-virion, adjuvanted h1n1 vaccine of 7.5 î¼g per dose",2,,,,,2,,,2
"influenza, human",Biological,"split-virion, non-adjuvanted h1n1 vaccine of 15 î¼g",2,,,,,,2,,2
"influenza, human",Biological,"split-virion, non-adjuvanted h1n1 vaccine of 15 î¼g per dose",2,,,,,2,,,2
"influenza, human",Biological,"split-virion, non-adjuvanted h1n1 vaccine of 30 î¼g per dose",2,,,,,2,,,2
"influenza, human",Biological,"split, inactivated, trivalent influenza vaccine (fluzoneâ®)",2,,,,,2,,,2
"influenza, human",Biological,trivalent inactivated influenza,1,,1,,,1,1,,2
"influenza, human",Biological,trivalent influenza virus vaccine,2,,,,,1,1,,2
"influenza, human",Biological,us licensed influenza virus vaccine (fluzoneâ®),2,,,,,2,,,2
"influenza, human",Biological,vaxigrip,2,,,,,,2,,2
"influenza, human",Biological,vaxigripâ®: split virion inactivated influenza vaccine,2,,,,,,2,,2
"influenza, human",Biological,"whole-virion, adjuvanted h1n1 vaccine of 10 î¼g per dose",2,,,,,2,,,2
"influenza, human",Biological,"whole-virion, adjuvanted h1n1 vaccine of 5 î¼g per dose",2,,,,,2,,,2
"influenza, human",Drug,ergoferon,2,,,,,,2,,2
"influenza, human",Drug,"gc fluâ® injection, gc fluâ® pre-filled syringe injection",2,,,,,,2,,2
"influenza, human",Drug,oseltamivir [tamiflu],1,,1,,,2,,,2
"influenza, human",Drug,paracetamol,2,,,,,,2,,2
"influenza, human",Drug,vaxigripâ®,2,,,,,,2,,2
insulin resistance,placebo,placebo,24,,3,,,12,15,,27
insulin resistance,Drug,metformin,9,,1,,,5,5,,10
insulin resistance,Drug,pioglitazone,6,,1,,,1,6,,7
insulin resistance,Drug,rosiglitazone,5,,,,,4,1,,5
insulin resistance,Drug,dapagliflozin,4,,,,,,4,,4
insulin resistance,Drug,aripiprazole,2,,,,,2,,,2
insulin resistance,Drug,ortho cyclenâ®,2,,,,,,2,,2
insulin resistance,Drug,testosterone 250mg injection,2,,,,,,2,,2
intermittent claudication,Device,aperiusâ® percutaneous interspinous spacer,2,,,,,2,,,2
intermittent claudication,Drug,cilostazol,1,,1,,,,2,,2
intermittent claudication,Procedure,aperiusâ„¢ perclidâ„¢ system,2,,,,,,2,,2
intervertebral disc degeneration,Device,discoverâ„¢ artificial cervical disc,,,2,,,,2,,2
intervertebral disc displacement,Drug,pregabalin,2,,,,,1,1,,2
intestinal diseases,Drug,albendazole,2,,,,,,2,,2
intestinal obstruction,Drug,iv morphine sulfate,1,,2,,,,3,,3
intestinal obstruction,Drug,exparel (bupivacaine liposome injectable suspension),1,,1,,,,2,,2
intraabdominal infections,Drug,tigecycline,3,,,,,2,1,,3
intraabdominal infections,Drug,metronidazole,2,,,,,2,,,2
intracranial aneurysm,Device,gdcâ® coils for endovascular aneurysm occlusion,2,,,,,,2,,2
intracranial aneurysm,Device,matrix 2â® coils for endovascular aneurysm occlusion,2,,,,,,2,,2
intracranial hemorrhages,Device,echodiaâ® hand-held equipment,2,,,,,,2,,2
intussusception,Drug,"rotarixâ®,",2,,,,,,2,,2
intussusception,Drug,"rotarixâ®, with other routine vaccines",2,,,,,,2,,2
intussusception,Drug,"rotateqâ®,",2,,,,,,2,,2
intussusception,Drug,"rotateqâ®, with other routine vaccines",2,,,,,,2,,2
intussusception,Procedure,stapled transanal resection (starr) with transtar (proximateâ®) 33 mm circular stapler,2,,,,,2,,,2
invasive fungal infections,Drug,itraconazole,1,,1,,,,2,,2
invasive fungal infections,Drug,posaconazole,2,,,,,,2,,2
invasive fungal infections,Drug,voriconazole,2,,,,,2,,,2
iron overload,Drug,deferasirox,8,,1,,,1,8,,9
iron overload,Drug,icl670,2,,1,,,,3,,3
irritable bowel syndrome,placebo,placebo,12,,2,,,4,10,,14
