pmid,nct_id,pub_source,ArticleType,Substance,MeSH,Title,PubDate,Journal,pubmed_links,ctg_links
33502773,NCT04366960,Abstract,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",Anticoagulants|NA,Aged|Anticoagulants|Bias|COVID-19|Cause of Death|Hemorrhage|Hospitalization|Humans|Middle Aged|Retrospective Studies|SARS-CoV-2|Thromboembolism|NA,Prophylactic anticoagulants for people hospitalised with COVID-19.,2021-02-03,The Cochrane database of systematic reviews,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04366960
33502773,NCT04393805,Abstract,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",Anticoagulants|NA,Aged|Anticoagulants|Bias|COVID-19|Cause of Death|Hemorrhage|Hospitalization|Humans|Middle Aged|Retrospective Studies|SARS-CoV-2|Thromboembolism|NA,Prophylactic anticoagulants for people hospitalised with COVID-19.,2021-02-03,The Cochrane database of systematic reviews,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04393805
33502773,NCT04373707,Abstract,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",Anticoagulants|NA,Aged|Anticoagulants|Bias|COVID-19|Cause of Death|Hemorrhage|Hospitalization|Humans|Middle Aged|Retrospective Studies|SARS-CoV-2|Thromboembolism|NA,Prophylactic anticoagulants for people hospitalised with COVID-19.,2021-02-03,The Cochrane database of systematic reviews,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04373707
33505321,NCT04647604,Abstract,Journal Article|Review, , ,Stimulating the Resolution of Inflammation Through Omega-3 Polyunsaturated Fatty Acids in COVID-19: Rationale for the <i>COVID-Omega-F</i> Trial.,2021-01-30,Frontiers in physiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04647604
33516247,NCT04359836,Abstract,Journal Article, , ,Detection of SARS-CoV-2 from patient fecal samples by whole genome sequencing.,2021-02-06,Gut pathogens,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04359836
33519339,NCT04347681,Abstract,Journal Article, , ,Safety and Efficacy of Convalescent Plasma for Severe COVID-19: Interim Report of a Multicenter Phase II Study from Saudi Arabia.,2021-02-02,Saudi journal of medicine &amp; medical sciences,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04347681
33522946,NCT04411446,Abstract,Letter, , ,High-dose vitamin D versus placebo to prevent complications in COVID-19 patients: A structured summary of a study protocol for a randomised controlled trial (CARED-TRIAL).,2021-02-03,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04411446
33524311,NCT04405908,Abstract,Journal Article, , ,"Safety and immunogenicity of S-Trimer (SCB-2019), a protein subunit vaccine candidate for COVID-19 in healthy adults: a phase 1, randomised, double-blind, placebo-controlled trial.",2021-02-01,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04405908
33524462,NCT04371744,Abstract,Journal Article, , ,Smartwatch Electrocardiogram and Artificial Intelligence for Assessing Cardiac-Rhythm Safety of Drug Therapy in the COVID-19 Pandemic. The QT-logs study.,2021-02-06,International journal of cardiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04371744
33524990,NCT04368728,Abstract,Journal Article, , ,Immunogenic BNT162b vaccines protect rhesus macaques from SARS-CoV-2.,2021-02-01,Nature,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04368728
33524990,NCT04380701,Abstract,Journal Article, , ,Immunogenic BNT162b vaccines protect rhesus macaques from SARS-CoV-2.,2021-02-01,Nature,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04380701
33532807,NCT04334954,Abstract,Preprint, , ,Mapping a Pandemic: SARS-CoV-2 Seropositivity in the United States.,2021-02-03,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04334954
33534266,NCT04462393,Abstract,Journal Article, , ,National outcomes and characteristics of patients admitted to Swedish intensive care units for COVID-19: A registry-based cohort study.,2021-02-03,European journal of anaesthesiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04462393
33545083,NCT04411784,Abstract,Journal Article, , ,"Assessment, endoscopy, and treatment in patients with acute severe ulcerative colitis during the COVID-19 pandemic (PROTECT-ASUC): a multicentre, observational, case-control study.",2021-02-05,The lancet. Gastroenterology &amp; hepatology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04411784
33545094,NCT04530396,Abstract,Journal Article, , ,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia.,2021-02-07,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04530396
33548194,NCT04383574,Abstract,Journal Article, , ,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine (CoronaVac) in healthy adults aged 60 years and older: a randomised, double-blind, placebo-controlled, phase 1/2 clinical trial.",2021-02-06,The Lancet. Infectious diseases,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04383574
29264361,NCT04466670,Registry,Journal Article|Review, , ,Nebulized anticoagulants in lung injury in critically ill patients-an updated systematic review of preclinical and clinical studies.,2020-10-01,Annals of translational medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04466670
29619244,NCT04333550,Registry,Journal Article, , ,Antiviral effects of ferric ammonium citrate.,2020-09-29,Cell discovery,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04333550
29772761,NCT04382768,Registry,Journal Article, , ,High Concentrations of Sodium Chloride Improve Microbicidal Activity of Ibuprofen against Common Cystic Fibrosis Pathogens.,2020-10-01,"Pharmaceuticals (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04382768
30127696,NCT04503434,Registry,Journal Article, , ,Implementation of Home Hospitalization and Early Discharge as an Integrated Care Service: A Ten Years Pragmatic Assessment.,2020-09-30,International journal of integrated care,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04503434
30206520,NCT04468893,Registry,Journal Article, , ,The acceptability of an online intervention using positive psychology for depression: A qualitative study.,2020-09-30,Internet interventions,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04468893
30505605,NCT04424953,Registry,Journal Article, , ,Haemodynamic Response to Four Different Laryngoscopes.,2020-10-01,Turkish journal of anaesthesiology and reanimation,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04424953
30535520,NCT04445961,Registry,Journal Article, , ,Driving pressure and long-term outcomes in moderate/severe acute respiratory distress syndrome.,2020-10-01,Annals of intensive care,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04445961
30760036,NCT04632615,Registry,Journal Article|Observational Study, ,Adult|Circadian Rhythm|Exercise|Female|Humans|Male|Prospective Studies|Rest|Sleep|Sports|Young Adult|NA,Athletes' rest-activity circadian rhythm differs in accordance with the sport discipline.,2020-06-10,Chronobiology international,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04632615
30805949,NCT04369807,Registry,Journal Article, , ,NGM282 Improves Liver Fibrosis and Histology in 12 Weeks in Patients With Nonalcoholic Steatohepatitis.,2020-04-30,"Hepatology (Baltimore, Md.)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04369807
30863805,NCT04542512,Registry,Journal Article, , ,Gangrenous cholecystitis in male patients: A study of prevalence and predictive risk factors.,2020-10-01,Annals of hepato-biliary-pancreatic surgery,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04542512
30958989,NCT04482634,Registry,Journal Article|Review, , ,Optimizing Post-Intensive Care Unit Rehabilitation.,2020-09-28,Turkish thoracic journal,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04482634
30976418,NCT04359095,Registry,Journal Article, , ,Clinical characteristics and outcomes of patients with severe acute respiratory infections (SARI): results from the Egyptian surveillance study 2010-2014.,2020-09-30,Multidisciplinary respiratory medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04359095
31024197,NCT04668404,Registry,Journal Article, , ,A/H1N1/09 Influenza is Associated With High Mortality in Liver Cirrhosis.,2020-09-28,Journal of clinical and experimental hepatology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04668404
31077821,NCT04668404,Registry,Journal Article, , ,"Heparin-like Effect Associated With Risk of Bleeding, Sepsis, and Death in Patients With Severe Alcohol-Associated Hepatitis.",2020-10-19,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04668404
31168572,NCT04441814,Registry,Journal Article|Published Erratum, , ,Prolonged lung cancer screening reduced 10-year mortality in the MILD trial: new confirmation of lung cancer screening efficacy.,2020-04-05,Annals of oncology : official journal of the European Society for Medical Oncology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04441814
31262511,NCT04511429,Registry,Journal Article, , ,Characteristics of community-acquired respiratory viruses infections except seasonal influenza in transplant recipients and non-transplant critically ill patients.,2021-01-19,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04511429
31264386,NCT04610554,Registry,Evaluation Study|Journal Article,Nitric Oxide|Carbon Monoxide|NA,"Adult|Aged|Carbon Monoxide|Female|Humans|Male|Middle Aged|Nitric Oxide|Pulmonary Diffusing Capacity|Pulmonary Fibrosis|Scleroderma, Systemic|Sensitivity and Specificity|NA",Value of lung diffusing capacity for nitric oxide in systemic sclerosis.,2020-06-02,Physiological reports,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04610554
31282542,NCT04410328,Registry,"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",Biomarkers|Phosphodiesterase Inhibitors|Dipyridamole|NA,Adolescent|Adult|Biomarkers|Chronic Disease|Dipyridamole|Double-Blind Method|HIV Infections|HIV-1|Humans|Inflammation|Middle Aged|Phosphodiesterase Inhibitors|Pilot Projects|Young Adult|NA,"A Randomized, Placebo-Controlled, Pilot Clinical Trial of Dipyridamole to Decrease Human Immunodeficiency Virus-Associated Chronic Inflammation.",2021-02-05,The Journal of infectious diseases,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04410328
31346914,NCT04338568,Registry,Journal Article, , ,The diagnostic accuracy for ARDS of global versus regional lung ultrasound scores - a post hoc analysis of an observational study in invasively ventilated ICU patients.,2020-09-30,Intensive care medicine experimental,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04338568
31406926,NCT04668404,Registry,Journal Article, , ,Noninvasive estimation of intravascular volume status in cirrhosis by dynamic size and collapsibility indices of the inferior vena cava using bedside echocardiography.,2020-09-30,JGH open : an open access journal of gastroenterology and hepatology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04668404
31606437,NCT04642326,Registry,"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Canada|Disease Transmission, Infectious|Female|Graft Survival|Hepacivirus|Hepatitis C|Humans|Lung|Lung Transplantation|Male|Middle Aged|Perfusion|Pilot Projects|Proof of Concept Study|Prospective Studies|Tissue Donors|Transplants|Treatment Outcome|Viremia|NA","Prevention of viral transmission during lung transplantation with hepatitis C-viraemic donors: an open-label, single-centre, pilot trial.",2020-08-24,The Lancet. Respiratory medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04642326
31682582,NCT04374786,Registry,Journal Article, ,"Adolescent|Aged|Aged, 80 and over|Arizona|Cross-Sectional Studies|Female|Humans|Male|Meditation|Middle Aged|Mobile Applications|Patients|Surveys and Questionnaires|NA","Characteristics and Usage Patterns Among 12,151 Paid Subscribers of the Calm Meditation App: Cross-Sectional Survey.",2020-09-15,JMIR mHealth and uHealth,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04374786
31756987,NCT04441814,Registry,Journal Article,"Biomarkers, Tumor|MicroRNAs|NA","Biomarkers, Tumor|Breast Neoplasms|Female|Gene Regulatory Networks|Humans|Machine Learning|Magnetic Resonance Imaging|MicroRNAs|Transcriptome|NA",<i>In Silico</i> Approach for the Definition of radiomiRNomic Signatures for Breast Cancer Differential Diagnosis.,2020-04-13,International journal of molecular sciences,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04441814
31762329,NCT04282902,Registry,Journal Article,Indoles|Pyridones|Bleomycin|pirfenidone|nintedanib|NA,"Animals|Bleomycin|Disease Models, Animal|Extracellular Matrix|Female|Idiopathic Pulmonary Fibrosis|Indoles|Lung|Myofibroblasts|Pyridones|Sheep|NA",The efficacy of pirfenidone in a sheep model of pulmonary fibrosis.,2020-05-26,Experimental lung research,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04282902
31849989,NCT04594356,Registry,Journal Article|Review,Antigen-Antibody Complex|NA,Anaphylaxis|Animals|Antigen-Antibody Complex|Autoimmune Diseases|Autoimmunity|Extracellular Traps|Humans|Hypersensitivity|Neutrophils|NA,Neutrophil Extracellular Traps in Autoimmunity and Allergy: Immune Complexes at Work.,2020-11-19,Frontiers in immunology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04594356
31853861,NCT04480034,Registry,Journal Article, , ,Weight Regain and Diabetes Evolution After Sleeve Gastrectomy: a Cohort Study with over 5Â Years of Follow-Up.,2021-01-10,Obesity surgery,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04480034
31930543,NCT04642326,Registry,Journal Article,Methylene Blue|NA,"Blood Platelets|Blood Transfusion|Hemorrhagic Fever Virus, Crimean-Congo|Humans|Light|Methylene Blue|Nipah Virus|Plasma|SARS Virus|Ultraviolet Rays|Virus Inactivation|NA","Inactivation of three emerging viruses - severe acute respiratory syndrome coronavirus, Crimean-Congo haemorrhagic fever virus and Nipah virus - in platelet concentrates by ultraviolet C light and in plasma by methylene blue plus visible light.",2020-10-19,Vox sanguinis,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04642326
31933547,NCT04394182,Registry,Journal Article, , ,Application of Low Doses of Ionizing Radiation in Medical Therapies.,2020-09-30,Dose-response : a publication of International Hormesis Society,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04394182
31936284,NCT04501965,Registry,Journal Article|Review, , ,The Use of Antimalarial Drugs against Viral Infection.,2020-09-30,Microorganisms,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04501965
31986264,NCT04567927,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Age Distribution|Aged|COVID-19|China|Comorbidity|Coronavirus Infections|Cough|Female|Fever|Hospitalization|Humans|Intensive Care Units|Male|Middle Aged|Myalgia|Pneumonia, Viral|Prognosis|Radiography, Thoracic|Respiratory Distress Syndrome|Time Factors|Tomography, X-Ray Computed|Young Adult|NA","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.",2020-03-13,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04567927
31986264,NCT04459819,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Age Distribution|Aged|COVID-19|China|Comorbidity|Coronavirus Infections|Cough|Female|Fever|Hospitalization|Humans|Intensive Care Units|Male|Middle Aged|Myalgia|Pneumonia, Viral|Prognosis|Radiography, Thoracic|Respiratory Distress Syndrome|Time Factors|Tomography, X-Ray Computed|Young Adult|NA","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.",2020-03-13,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04459819
31999307,NCT04631861,Registry,Journal Article, ,"Betacoronavirus|COVID-19|China|Communicable Disease Control|Coronavirus Infections|Global Health|Humans|Pandemics|Pneumonia, Viral|SARS-CoV-2|World Health Organization|NA","The Novel Coronavirus Originating in Wuhan, China: Challenges for Global Health Governance.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04631861
32000806,NCT04407468,Registry,Journal Article|Multicenter Study|Observational Study, ,Adult|Cannula|Cohort Studies|Female|Humans|Hypoxia|Male|Middle Aged|Patient Positioning|Patient Safety|Prone Position|Prospective Studies|Respiratory Distress Syndrome|Respiratory Insufficiency|NA,Efficacy and safety of early prone positioning combined with HFNC or NIV in moderate to severe ARDS: a multi-center prospective cohort study.,2020-10-30,"Critical care (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04407468
32025779,NCT04374422,Registry,Journal Article, ,"Betacoronavirus|COVID-19|China|Coronavirus Infections|Epidemics|Health Planning|Hospitals|Humans|Intensive Care Units|Pandemics|Pneumonia, Viral|SARS-CoV-2|NA","Novel coronavirus infection during the 2019-2020 epidemic: preparing intensive care units-the experience in Sichuan Province, China.",2020-09-16,Intensive care medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04374422
32031570,NCT04445961,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04445961
32031570,NCT04442178,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04442178
32031570,NCT04567927,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04567927
32031570,NCT04407689,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04407689
32031570,NCT04422535,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04422535
32031570,NCT04340921,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04340921
32031570,NCT04497311,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|China|Coronavirus Infections|Critical Illness|Disease Transmission, Infectious|Female|Hospitalization|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Real-Time Polymerase Chain Reaction|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Vital Signs|Young Adult|NA","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04497311
32039812,NCT04374786,Registry,Journal Article, , ,Cancer Patients' and Survivors' Perceptions of the Calm App: Cross-Sectional Descriptive Study.,2020-09-28,JMIR cancer,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04374786
32043986,NCT04325061,Registry,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Glucocorticoids|Dexamethasone|NA,"Administration, Intravenous|Adult|Aged|Dexamethasone|Female|Glucocorticoids|Humans|Intensive Care Units|Male|Middle Aged|Respiration, Artificial|Respiratory Distress Syndrome|Severity of Illness Index|Treatment Outcome|NA","Dexamethasone treatment for the acute respiratory distress syndrome: a multicentre, randomised controlled trial.",2020-09-30,The Lancet. Respiratory medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04325061
32052466,NCT04367883,Registry,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",Antiviral Agents|COVID-19 Vaccines|Immunologic Factors|Trace Elements|Viral Vaccines|Vitamins|NA,"Antiviral Agents|Betacoronavirus|COVID-19|COVID-19 Vaccines|China|Coronavirus Infections|Humans|Immunization, Passive|Immunologic Factors|Nutritional Status|Plasma|Pneumonia, Viral|SARS-CoV-2|Trace Elements|Viral Vaccines|Vitamins|NA",Potential interventions for novel coronavirus in China: A systematic review.,2020-03-18,Journal of medical virology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04367883
32053470,NCT04441814,Registry,Journal Article, ,"Adult|Betacoronavirus|COVID-19|Coronavirus Infections|Female|Humans|Lung|Male|Middle Aged|Pandemics|Pneumonia, Viral|Radiography, Thoracic|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|NA",Time Course of Lung Changes at Chest CT during Recovery from Coronavirus Disease 2019 (COVID-19).,2020-05-21,Radiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04441814
32077115,NCT04407169,Registry,Journal Article,C-Reactive Protein|NA,"Adult|Aged|Aged, 80 and over|Betacoronavirus|C-Reactive Protein|COVID-19|China|Community-Acquired Infections|Comorbidity|Coronavirus Infections|Diabetes Mellitus|Eosinophils|Female|Hospitalization|Humans|Hypertension|Lymphopenia|Male|Middle Aged|Pandemics|Pneumonia, Viral|Risk Factors|SARS-CoV-2|Severity of Illness Index|NA","Clinical characteristics of 140 patients infected with SARS-CoV-2 in Wuhan, China.",2020-08-03,Allergy,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04407169
32077789,NCT04661631,Registry,Journal Article, ,"Adolescent|Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|Coronavirus Infections|Female|Humans|Lung|Lung Diseases|Male|Middle Aged|Pandemics|Pneumonia, Viral|Radiography, Thoracic|Retrospective Studies|SARS-CoV-2|Tomography, X-Ray Computed|Young Adult|NA",Chest CT Findings in Coronavirus Disease-19 (COVID-19): Relationship to Duration of Infection.,2020-05-21,Radiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04661631
32083985,NCT04497311,Registry,"Journal Article|Research Support, Non-U.S. Gov't|Review", ,"Betacoronavirus|COVID-19|COVID-19 Testing|China|Clinical Laboratory Techniques|Coronavirus Infections|Diagnosis, Differential|Early Diagnosis|Humans|Pandemics|Pneumonia, Viral|SARS-CoV-2|Severity of Illness Index|Tomography, X-Ray Computed|NA",Coronavirus Disease 2019 (COVID-19): A Perspective from China.,2020-07-31,Radiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04497311
32091533,NCT04567927,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Betacoronavirus|COVID-19|China|Communicable Disease Control|Coronavirus Infections|Disease Outbreaks|Humans|Pandemics|Patient Acuity|Pneumonia, Viral|SARS-CoV-2|Severe Acute Respiratory Syndrome|World Health Organization|NA",Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China: Summary of a Report of 72â€¯314 Cases From the Chinese Center for Disease Control and Prevention.,2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04567927
32091533,NCT04661631,Registry,"Journal Article|Research Support, Non-U.S. Gov't", ,"Betacoronavirus|COVID-19|China|Communicable Disease Control|Coronavirus Infections|Disease Outbreaks|Humans|Pandemics|Patient Acuity|Pneumonia, Viral|SARS-CoV-2|Severe Acute Respiratory Syndrome|World Health Organization|NA",Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China: Summary of a Report of 72â€¯314 Cases From the Chinese Center for Disease Control and Prevention.,2020-09-22,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04661631
