Intervention_type,intervention,Study_count,Date of First Study,N/A,Phase 1,Phase 2,Phase 3,Phase 4,sponsor_counts,Score,NUmber_of_sponsors,NUmber_of_Publications
Behavioral,self-focused acts,1,2020-08-14,1,0,0,0,0,University of Toronto ( 1 ),1.001,1,NA
Behavioral,self-help booklet,1,2020-05-26,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Other,self-help mindfulness,1,2021-01-12,1,0,0,0,0,Radboud University ( 1 ),1.001,1,NA
Other,self-help mindfulness/compassion exercises,1,2021-01-12,1,0,0,0,0,Radboud University ( 1 ),1.001,1,NA
Other,self-interest message,1,2020-07-02,1,0,0,0,0,Yale University ( 1 ),1.001,1,NA
Other,self measurement with pulse oximeter,1,2020-11-27,1,0,0,0,0,Ostfold Hospital Trust ( 1 ),1.001,1,NA
Diagnostic Test,serological tests for sars cov-2,1,2021-01-21,1,0,0,0,0,Grand HÃ´pital de Charleroi ( 1 ),1.001,1,NA
Other,serology test follow-up,1,2020-07-20,1,0,0,0,0,Groupe Hospitalier Paris Saint Joseph ( 1 ),1.001,1,4
Diagnostic Test,serology to determine sars-cov-2 infection,1,2021-03-21,1,0,0,0,0,Grand HÃ´pital de Charleroi ( 1 ),1.001,1,NA
Biological,serology/elispot test,1,2021-06-18,1,0,0,0,0,Centre Georges Francois Leclerc ( 1 ),1.001,1,NA
Other,severity of lung involvement with covid-19.,1,2020-09-29,1,0,0,0,0,Gaziosmanpasa Research and Education Hospital ( 1 ),1.001,1,NA
Other,sf-12,1,2021-01-10,1,0,0,0,0,Gaziosmanpasa Research and Education Hospital ( 1 ),1.001,1,NA
Other,sham inflation,1,2021-01-06,1,0,0,0,0,University College London Hospitals ( 1 ),1.001,1,1
Behavioral,shared decision making,1,2020-09-09,1,0,0,0,0,Massachusetts General Hospital ( 1 ),1.001,1,NA
Behavioral,simple cognitive task,1,2020-07-13,1,0,0,0,0,University of Oxford ( 1 ),1.001,1,NA
Behavioral,simulation intervention,1,2020-11-02,1,0,0,0,0,Yale University ( 1 ),1.001,1,NA
Drug,single high dose vitamin d,1,2020-08-17,1,0,0,0,0,"Cantonal Hosptal, Baselland ( 1 )",1.001,1,NA
Other,singstrong: strong lungs through song,1,2021-03-19,1,0,0,0,0,University of Limerick ( 1 ),1.001,1,NA
Other,sit-to-stand test,1,2020-12-29,1,0,0,0,0,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain ( 1 ),1.001,1,NA
Behavioral,sm-ema,1,2021-01-06,1,0,0,0,0,Johns Hopkins University ( 1 ),1.001,1,NA
Device,smf,1,2020-05-08,1,0,0,0,0,University of Nove de Julho ( 1 ),1.001,1,1
Behavioral,sms-based support,1,2020-05-19,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Behavioral,sms delivery of information,1,2021-06-07,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Behavioral,sms message support,1,2020-05-26,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Behavioral,soap distributed but no activities of the hbcc project,1,2021-02-11,1,0,0,0,0,BRAC University ( 1 ),1.001,1,NA
Behavioral,social,1,2021-03-25,1,0,0,0,0,University of Bern ( 1 ),1.001,1,NA
Behavioral,socialization,1,2020-07-31,1,0,0,0,0,McMaster University ( 1 ),1.001,1,NA
Drug,sodium bicarbonate solution,1,2021-09-02,1,0,0,0,0,Mansoura University ( 1 ),1.001,1,NA
Other,solution-focused support program,1,2020-10-26,1,0,0,0,0,Adiyaman University Research Hospital ( 1 ),1.001,1,NA
Diagnostic Test,spartan covid-19 platform,1,2021-02-19,1,0,0,0,0,Ottawa Heart Institute Research Corporation ( 1 ),1.001,1,NA
Device,spartan covid-19 system,1,2020-07-14,1,0,0,0,0,Spartan Bioscience Inc. ( 1 ),1.001,1,NA
Other,specific exercise rehabilitation treatment,1,2020-09-10,1,0,0,0,0,Groupe Hospitalier Paris Saint Joseph ( 1 ),1.001,1,NA
Diagnostic Test,spike protein (s),1,2021-04-13,1,0,0,0,0,Baskent University ( 1 ),1.001,1,NA
Diagnostic Test,spike protein (s)/the nucleocapsid (n) of sars-cov-2,1,2021-04-13,1,0,0,0,0,Baskent University ( 1 ),1.001,1,NA
Other,spin-chat program,1,2020-04-01,1,0,0,0,0,Lady Davis Institute ( 1 ),1.001,1,1
Diagnostic Test,spirometry,1,2021-02-01,1,0,0,0,0,Johann Wolfgang Goethe University Hospital ( 1 ),1.001,1,NA
Behavioral,sse educational intervention,1,2020-06-03,1,0,0,0,0,Northwestern University ( 1 ),1.001,1,NA
Other,staff wellbeing centres,1,2020-05-22,1,0,0,0,0,University of Nottingham ( 1 ),1.001,1,2
Other,standard care/monitoring,1,2020-12-03,1,0,0,0,0,Icahn School of Medicine at Mount Sinai ( 1 ),1.001,1,NA
Other,standard interface,1,2020-04-08,1,0,0,0,0,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain ( 1 ),1.001,1,NA
Behavioral,standard message,1,2021-04-06,1,0,0,0,0,University of Pennsylvania ( 1 ),1.001,1,NA
Drug,standard of care for covid-19 as per the hospital guidelines,1,2021-04-25,1,0,0,0,0,King Edward Medical University ( 1 ),1.001,1,NA
Other,standard of care non-helmet based cpap ventilation,1,2021-06-08,1,0,0,0,0,New York University ( 1 ),1.001,1,1
Other,standard oxygen delivery system,1,2020-11-13,1,0,0,0,0,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain ( 1 ),1.001,1,NA
Behavioral,standard pcp outreach,1,2021-10-25,1,0,0,0,0,Kaiser Permanente ( 1 ),1.001,1,NA
Diagnostic Test,"standard q covid-19 ag - test, produced by sd biosensor inc.",1,2020-12-26,1,0,0,0,0,"Rigshospitalet, Denmark ( 1 )",1.001,1,NA
Behavioral,stay connected,1,2021-06-25,1,0,0,0,0,University of Washington ( 1 ),1.001,1,NA
Procedure,steam inhalations,1,2021-02-05,1,0,0,0,0,Meyer Children's Hospital ( 1 ),1.001,1,NA
Procedure,steroid,1,2021-08-16,1,0,0,0,0,Assiut University ( 1 ),1.001,1,NA
Other,steroid taper (prednisone),1,2021-02-25,1,0,0,0,0,Northwell Health ( 1 ),1.001,1,NA
Procedure,steroid/anticoagulants according to different protocols.,1,2021-08-16,1,0,0,0,0,Assiut University ( 1 ),1.001,1,NA
Diagnostic Test,stimulation test with arginine infusion in order to verify the possible existence of damage to the beta cell function induced by covid-19 infection,1,2020-07-02,1,0,0,0,0,University of Milan ( 1 ),1.001,1,NA
Behavioral,strength rmt/nasal breathing,1,2021-06-30,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Other,strengthening exercise,1,2021-05-06,1,0,0,0,0,Riphah International University ( 1 ),1.001,1,NA
Behavioral,stress first aid,1,2021-01-14,1,0,0,0,0,RAND ( 1 ),1.001,1,NA
Diagnostic Test,stress test,1,2021-06-02,1,0,0,0,0,"University Hospital, Bordeaux ( 1 )",1.001,1,NA
Behavioral,stress/emotion management,1,2020-08-10,1,0,0,0,0,Ohio State University ( 1 ),1.001,1,NA
Behavioral,striveweekly,1,2021-06-09,1,0,0,0,0,Harvard University ( 1 ),1.001,1,NA
Behavioral,substance use disorders using prolonged exposure (cope),1,2021-02-10,1,0,0,0,0,University of Kentucky ( 1 ),1.001,1,NA
Dietary Supplement,sun exposure,1,2021-03-18,1,0,0,0,0,Hospital Clinica Nova ( 1 ),1.001,1,NA
Other,supervised stretching,1,2021-05-06,1,0,0,0,0,Riphah International University ( 1 ),1.001,1,NA
Other,supine position,1,2020-09-08,1,0,0,0,0,"Hospital St. Joseph, Marseille, France ( 1 )",1.001,1,NA
Behavioral,support,1,2021-04-23,1,0,0,0,0,University of Toronto ( 1 ),1.001,1,NA
Behavioral,supportive therapy,1,2020-12-07,1,0,0,0,0,Drexel University ( 1 ),1.001,1,1
Behavioral,supportive therapy ssi,1,2020-11-11,1,0,0,0,0,Stony Brook University ( 1 ),1.001,1,NA
Drug,supportive/symptomatic treatment,1,2020-07-14,1,0,0,0,0,Mansoura University ( 1 ),1.001,1,NA
Other,surgical face mask use only,1,2020-11-24,1,0,0,0,0,"University of Los Andes, Columbia ( 1 )",1.001,1,NA
Other,surgical facial mask,1,2020-04-02,1,0,0,0,0,"Rigshospitalet, Denmark ( 1 )",1.001,1,2
Biological,swab,1,2020-04-28,1,0,0,0,0,Hospices Civils de Lyon ( 1 ),1.001,1,NA
Behavioral,tailored best practices,1,2021-01-15,1,0,0,0,0,Massachusetts General Hospital ( 1 ),1.001,1,NA
Behavioral,tailored information,1,2021-04-13,1,0,0,0,0,"University Hospital, Akershus ( 1 )",1.001,1,NA
Behavioral,tailored recommendations,1,2020-11-25,1,0,0,0,0,Laval University ( 1 ),1.001,1,NA
Diagnostic Test,take home saliva kit,1,2021-09-20,1,0,0,0,0,The Hospital for Sick Children ( 1 ),1.001,1,NA
Behavioral,technology based social interactions,1,2020-07-19,1,0,0,0,0,Boston University ( 1 ),1.001,1,NA
Behavioral,tele-interventions related to diabetes management,1,2020-04-07,1,0,0,0,0,Federal University of Rio Grande do Sul ( 1 ),1.001,1,NA
Behavioral,telehealth/counselling,1,2020-09-08,1,0,0,0,0,UKK Institute ( 1 ),1.001,1,NA
Behavioral,telemedicine visit,1,2020-12-02,1,0,0,0,0,Cedars-Sinai Medical Center ( 1 ),1.001,1,NA
Other,telemonitoring,1,2021-03-08,1,0,0,0,0,University of Sao Paulo ( 1 ),1.001,1,NA
Other,telemonitoring/teleorientation,1,2021-03-08,1,0,0,0,0,University of Sao Paulo ( 1 ),1.001,1,NA
Procedure,telephone follow-up,1,2020-04-14,1,0,0,0,0,"Central Hospital, Nancy, France ( 1 )",1.001,1,NA
Behavioral,telepsychoeducation with personalized videos,1,2020-11-05,1,0,0,0,0,Hospital de Clinicas de Porto Alegre ( 1 ),1.001,1,NA
Behavioral,telesimulation,1,2020-08-12,1,0,0,0,0,"University of California, Davis ( 1 )",1.001,1,NA
Other,telestroke,1,2021-02-15,1,0,0,0,0,University of Minnesota ( 1 ),1.001,1,NA
Drug,tenofovir disoproxyl fumarate 300 mg,1,2021-01-07,1,0,0,0,0,Universidade Federal do Ceara ( 1 ),1.001,1,NA
Drug,tenofovir disoproxyl fumarate 300 mg oral tablet,1,2021-01-07,1,0,0,0,0,Universidade Federal do Ceara ( 1 ),1.001,1,NA
Drug,tenofovir disoproxyl fumarate 300 mg/emtricitabine 200 mg oral tablet,1,2021-01-07,1,0,0,0,0,Universidade Federal do Ceara ( 1 ),1.001,1,NA
Device,tensile strength,1,2021-02-04,1,0,0,0,0,Bangkok Metropolitan Administration Medical College and Vajira Hospital ( 1 ),1.001,1,NA
Diagnostic Test,test rt-pcr,1,2020-10-01,1,0,0,0,0,Centre Hospitalier Intercommunal Creteil ( 1 ),1.001,1,NA
Diagnostic Test,testing,1,2020-10-19,1,0,0,0,0,LumiraDx UK Limited ( 1 ),1.001,1,NA
Diagnostic Test,testing for sars-cov-2 igm/igg,1,2021-01-16,1,0,0,0,0,Washington University School of Medicine ( 1 ),1.001,1,NA
Diagnostic Test,testing for sars-cov-2 rna,1,2021-01-16,1,0,0,0,0,Washington University School of Medicine ( 1 ),1.001,1,NA
Other,testis pathology samples,1,2021-01-17,1,0,0,0,0,I.M. Sechenov First Moscow State Medical University ( 1 ),1.001,1,NA
Drug,tetracycline hydrochloride 3%,1,2021-01-18,1,0,0,0,0,University of Nove de Julho ( 1 ),1.001,1,NA
Behavioral,text material for psychoeducation,1,2020-10-08,1,0,0,0,0,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta ( 1 ),1.001,1,NA
Behavioral,text material for psychoeducation/audio for relaxation techniques,1,2020-10-08,1,0,0,0,0,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta ( 1 ),1.001,1,NA
Behavioral,text message,1,2021-09-07,1,0,0,0,0,Ascension South East Michigan ( 1 ),1.001,1,NA
Other,the management of severe covid-19 cases,1,2020-08-05,1,0,0,0,0,Surgical Systems Research Group ( 1 ),1.001,1,NA
Diagnostic Test,the nucleocapsid (n) of sars-cov-2,1,2021-04-13,1,0,0,0,0,Baskent University ( 1 ),1.001,1,NA
Behavioral,the psychosocial effects of covid-19 pandemic on dental professionals,1,2020-12-16,1,0,0,0,0,Suleyman Demirel University ( 1 ),1.001,1,NA
Device,the use of the mentalplusâ® digital game for assessment,1,2020-11-14,1,0,0,0,0,University of Sao Paulo ( 1 ),1.001,1,NA
Device,the use of the mentalplusâ® digital game for assessment/rehabilitation of cognitive function after remission of the symptoms of covid-19,1,2020-11-14,1,0,0,0,0,University of Sao Paulo ( 1 ),1.001,1,NA
Behavioral,theory-based messages,1,2021-03-23,1,0,0,0,0,University of Glasgow ( 1 ),1.001,1,1
Other,therapeutic plasma exchange : 3 sessions in 3 consecutive days (day 1 to day 3),1,2021-02-05,1,0,0,0,0,Hospices Civils de Lyon ( 1 ),1.001,1,NA
Other,toothpaste with sodium fluoride,1,2020-07-14,1,0,0,0,0,Hospital Israelita Albert Einstein ( 1 ),1.001,1,NA
Other,toothpaste with tin fluoride,1,2020-07-14,1,0,0,0,0,Hospital Israelita Albert Einstein ( 1 ),1.001,1,NA
Drug,tpa,1,2021-06-13,1,0,0,0,0,Grupo Mexicano para el Estudio de la Medicina Intensiva ( 1 ),1.001,1,NA
Other,tr,1,2021-03-26,1,0,0,0,0,Istituti Clinici Scientifici Maugeri SpA ( 1 ),1.001,1,NA
Procedure,tracheotomy,1,2020-05-24,1,0,0,0,0,"Sahlgrenska University Hospital, Sweden ( 1 )",1.001,1,NA
Other,training clinicians in basic critical care,1,2020-08-05,1,0,0,0,0,Surgical Systems Research Group ( 1 ),1.001,1,NA
Behavioral,"training for awareness, resilience,",1,2020-09-11,1,0,0,0,0,"University of California, San Francisco ( 1 )",1.001,1,NA
Behavioral,"training for awareness, resilience,/action (tara)",1,2020-09-11,1,0,0,0,0,"University of California, San Francisco ( 1 )",1.001,1,NA
Other,"training of youth, community health assistants",1,2020-08-05,1,0,0,0,0,Surgical Systems Research Group ( 1 ),1.001,1,NA
Other,"training of youth, community health assistants/community health workers.",1,2020-08-05,1,0,0,0,0,Surgical Systems Research Group ( 1 ),1.001,1,NA
Behavioral,training session adressing information,1,2020-06-29,1,0,0,0,0,Jacobs University Bremen gGmbH ( 1 ),1.001,1,4
Behavioral,training session adressing information/health literacy,1,2020-06-29,1,0,0,0,0,Jacobs University Bremen gGmbH ( 1 ),1.001,1,4
Behavioral,transcendental meditation,1,2020-11-11,1,0,0,0,0,Duke University ( 1 ),1.001,1,NA
Device,transcutaneous auricular vagus nerve stimulation,1,2020-05-05,1,0,0,0,0,Nemechek Technologies ( 1 ),1.001,1,NA
Diagnostic Test,transpulmonary pressure measurements,1,2020-08-18,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Behavioral,trauma informed psychotherapy,1,2020-10-29,1,0,0,0,0,University of Lethbridge ( 1 ),1.001,1,NA
Behavioral,trauma informed yoga,1,2020-10-29,1,0,0,0,0,University of Lethbridge ( 1 ),1.001,1,NA
Other,treated with hyperimmune plasma,1,2020-11-02,1,0,0,0,0,A.O. Ospedale Papa Giovanni XXIII ( 1 ),1.001,1,NA
Other,ultraprotective ventilation,1,2020-04-08,1,0,0,0,0,Hospices Civils de Lyon ( 1 ),1.001,1,1
Behavioral,unavailable covid test result - hypothetical scenario,1,2020-07-05,1,0,0,0,0,"University of California, Los Angeles ( 1 )",1.001,1,NA
Behavioral,unified protocol for covid-19 parenting stress (up-covid),1,2020-06-12,1,0,0,0,0,University of Miami ( 1 ),1.001,1,NA
Other,unsupervised physical activities,1,2020-06-07,1,0,0,0,0,Federal University of Rio Grande do Sul ( 1 ),1.001,1,NA
Other,urine samples,1,2020-03-31,1,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 ),1.001,1,NA
Other,usual care control,1,2021-03-12,1,0,0,0,0,Massachusetts General Hospital ( 1 ),1.001,1,NA
Behavioral,usual care positioning with no instructions,1,2020-04-24,1,0,0,0,0,University of Utah ( 1 ),1.001,1,NA
Diagnostic Test,venous,1,2021-10-01,1,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 ),1.001,1,NA
Diagnostic Test,venous/capillary blood sampling,1,2021-10-01,1,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 ),1.001,1,NA
Device,vesta respirator,1,2020-07-19,1,0,0,0,0,University of Brasilia ( 1 ),1.001,1,NA
Device,virtual reality therapy first,1,2020-08-29,1,0,0,0,0,University of Sao Paulo ( 1 ),1.001,1,1
Other,virtual realty exercises,1,2021-07-28,1,0,0,0,0,Sivas Cumhuriyet University ( 1 ),1.001,1,NA
Other,virtual village,1,2021-02-03,1,0,0,0,0,"University of California, Riverside ( 1 )",1.001,1,NA
Device,viruxal oral,1,2020-04-20,1,0,0,0,0,Kerecis Ltd. ( 1 ),1.001,1,NA
Device,viruxal oral/nasal spray,1,2020-04-20,1,0,0,0,0,Kerecis Ltd. ( 1 ),1.001,1,NA
Drug,vitamin c 500 mg oral tablet,1,2021-01-07,1,0,0,0,0,Universidade Federal do Ceara ( 1 ),1.001,1,NA
Dietary Supplement,"vitamin c, vitamin b complex",1,2021-03-12,1,0,0,0,0,Hospital de la Soledad ( 1 ),1.001,1,NA
Dietary Supplement,"vitamin c, vitamin b complex/zinc acetate",1,2021-03-12,1,0,0,0,0,Hospital de la Soledad ( 1 ),1.001,1,NA
Dietary Supplement,vitamine d3 supplementation,1,2021-03-18,1,0,0,0,0,Hospital Clinica Nova ( 1 ),1.001,1,NA
Device,ward css,1,2020-10-21,1,0,0,0,0,University Hospital Bispebjerg and Frederiksberg ( 1 ),1.001,1,NA
Other,wearing surgical face mask sprayed with hypertonic saline,1,2020-07-02,1,0,0,0,0,King Faisal Specialist Hospital & Research Center ( 1 ),1.001,1,NA
Other,webex physical activity program,1,2020-05-20,1,0,0,0,0,Lawson Health Research Institute ( 1 ),1.001,1,NA
Behavioral,wellness education,1,2021-03-11,1,0,0,0,0,Saglik Bilimleri Universitesi ( 1 ),1.001,1,NA
Other,wingate exercise test/on-ice testing while wearing a sham face mask,1,2021-04-23,1,0,0,0,0,University of Saskatchewan ( 1 ),1.001,1,1
Device,withings scanwatch,1,2020-07-09,1,0,0,0,0,Ludwig-Maximilians - University of Munich ( 1 ),1.001,1,NA
Other,wofb,1,2020-11-27,1,0,0,0,0,University of Oxford ( 1 ),1.001,1,1
Behavioral,yoga group,1,2020-05-21,1,0,0,0,0,University of British Columbia ( 1 ),1.001,1,1
Other,zn,1,2021-05-24,1,0,0,0,0,Hospital Israelita Albert Einstein ( 1 ),1.001,1,NA
Biological,28),1,2020-09-21,0,1,0,0,0,UniversitÃ¤tsklinikum Hamburg-Eppendorf ( 1 ),1.001,1,NA
Biological,50 âµg spfn_1b-06-pl,1,2021-03-03,0,1,0,0,0,U.S. Army Medical Research and Development Command ( 1 ),1.001,1,NA
Biological,aapc,1,2020-03-05,0,1,0,0,0,Shenzhen Geno-Immune Medical Institute ( 1 ),1.001,1,NA
Drug,abbv-2b04,1,2020-11-23,0,1,0,0,0,AbbVie ( 1 ),1.001,1,NA
Biological,adcld-cov19-1,1,2021-09-14,0,1,0,0,0,"Cellid Co., Ltd. ( 1 )",1.001,1,NA
Drug,ak119,1,2020-08-13,0,1,0,0,0,Akeso ( 1 ),1.001,1,NA
Biological,alum adjuvant,1,2020-05-25,0,1,0,0,0,Clover Biopharmaceuticals AUS Pty Ltd ( 1 ),1.001,1,1
Drug,anti-sars-cov-2 igy,1,2020-09-18,0,1,0,0,0,Stanford University ( 1 ),1.001,1,NA
Biological,at-100,1,2020-12-04,0,1,0,0,0,"Airway Therapeutics, Inc. ( 1 )",1.001,1,NA
Biological,bactrl-spike,1,2020-03-31,0,1,0,0,0,Symvivo Corporation ( 1 ),1.001,1,NA
Biological,bbv154 vaccine,1,2021-02-08,0,1,0,0,0,Bharat Biotech International Limited ( 1 ),1.001,1,NA
Drug,bgb dxp593,1,2020-08-27,0,1,0,0,0,BeiGene ( 1 ),1.001,1,NA
Drug,bicalutamide 150 mg,1,2020-12-02,0,1,0,0,0,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins ( 1 ),1.001,1,NA
Biological,biological/vaccine: recombinant new coronavirus vaccine (cho cell) low-dose group,1,2020-08-16,0,1,0,0,0,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd. ( 1 )",1.001,1,NA
Biological,biological/vaccine: recombinant new coronavirus vaccine (cho cells) high-dose group,1,2020-08-16,0,1,0,0,0,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd. ( 1 )",1.001,1,NA
Drug,botulinum neurotoxin,1,2020-06-18,0,1,0,0,0,DeNova Research ( 1 ),1.001,1,NA
Biological,c144-ls/c-135-ls,1,2021-01-05,0,1,0,0,0,Rockefeller University ( 1 ),1.001,1,1
Biological,cd127lo,1,2021-08-26,0,1,0,0,0,"University of California, San Francisco ( 1 )",1.001,1,NA
Device,centricyte 1000,1,2020-03-26,0,1,0,0,0,"Black Tie Medical, Inc. ( 1 )",1.001,1,NA
Device,cliniporator,1,2020-11-06,0,1,0,0,0,Providence Health & Services ( 1 ),1.001,1,NA
Drug,covidir injections,1,2021-06-16,0,1,0,0,0,Code Pharma ( 1 ),1.001,1,NA
Biological,cryopreserved ex vivo expanded polyclonal cd4,1,2021-08-26,0,1,0,0,0,"University of California, San Francisco ( 1 )",1.001,1,NA
Biological,cvxga1 high dose,1,2021-06-30,0,1,0,0,0,CyanVac LLC ( 1 ),1.001,1,NA
Biological,cvxga1 low dose,1,2021-06-30,0,1,0,0,0,CyanVac LLC ( 1 ),1.001,1,NA
Drug,cytotoxic t lymphocytes,1,2021-02-19,0,1,0,0,0,Thomas Jefferson University ( 1 ),1.001,1,NA
Drug,dapsone 100 mg,1,2021-05-27,0,1,0,0,0,Hunt Regional Medical Center ( 1 ),1.001,1,NA
Diagnostic Test,diagnostic tests for covid-19 infection,1,2020-04-29,0,1,0,0,0,Texas Cardiac Arrhythmia Research Foundation ( 1 ),1.001,1,NA
Combination Product,diclofenac sodium 1gm%,1,2021-05-18,0,1,0,0,0,Sher-E-Bangla Medical College ( 1 ),1.001,1,NA
Biological,dvx201,1,2021-05-20,0,1,0,0,0,"Deverra Therapeutics, Inc. ( 1 )",1.001,1,NA
Device,electrical stimulation - sham,1,2020-12-23,0,1,0,0,0,Baylor College of Medicine ( 1 ),1.001,1,NA
Drug,emricasan,1,2021-02-12,0,1,0,0,0,Histogen ( 1 ),1.001,1,NA
Drug,fb2001,1,2021-02-04,0,1,0,0,0,Frontier Biotechnologies Inc. ( 1 ),1.001,1,NA
placebo,fb2001 placebo,1,2021-02-04,0,1,0,0,0,Frontier Biotechnologies Inc. ( 1 ),1.001,1,NA
Other,gm-csf,1,2020-12-28,0,1,0,0,0,"Aivita Biomedical, Inc. ( 1 )",1.001,1,NA
Drug,gs-441524,1,2021-04-19,0,1,0,0,0,Copycat Sciences LLC ( 1 ),1.001,1,NA
Drug,gx-i7 vehicle,1,2021-01-20,0,1,0,0,0,"Genexine, Inc. ( 1 )",1.001,1,NA
Drug,had5-sfusion/ n-etsd (oral capsule),1,2021-01-27,0,1,0,0,0,"ImmunityBio, Inc. ( 1 )",1.001,1,NA
Other,health enhancement program,1,2020-04-26,0,1,0,0,0,Lawson Health Research Institute ( 1 ),1.001,1,2
Drug,hfb30132a,1,2020-10-08,0,1,0,0,0,HiFiBiO Therapeutics ( 1 ),1.001,1,NA
Drug,intranasal spray 1%,1,2020-09-28,0,1,0,0,0,UNION therapeutics ( 1 ),1.001,1,NA
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 1, single dose, intranasal drops",1,2021-03-09,0,1,0,0,0,"Meissa Vaccines, Inc. ( 1 )",1.001,1,NA
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 2, single dose, intranasal drops",1,2021-03-09,0,1,0,0,0,"Meissa Vaccines, Inc. ( 1 )",1.001,1,NA
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 3, single dose, intranasal drops",1,2021-03-09,0,1,0,0,0,"Meissa Vaccines, Inc. ( 1 )",1.001,1,NA
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 3, two doses, intranasal drops",1,2021-03-09,0,1,0,0,0,"Meissa Vaccines, Inc. ( 1 )",1.001,1,NA
Drug,irl201104,1,2021-02-01,0,1,0,0,0,Revolo Biotherapeutics ( 1 ),1.001,1,NA
Drug,itraconazole,1,2021-07-10,0,1,0,0,0,Pfizer ( 1 ),1.001,1,NA
Biological,koã§ak-19 inaktif adjuvanlä± covid-19 vaccine 4 âµg,1,2021-04-06,0,1,0,0,0,Kocak Farma ( 1 ),1.001,1,NA
Biological,koã§ak-19 inaktif adjuvanlä± covid-19 vaccine 4 âµg/0.5 ml vaccine,1,2021-04-06,0,1,0,0,0,Kocak Farma ( 1 ),1.001,1,NA
Drug,lidocaine,1,2021-07-27,0,1,0,0,0,Sheikh Zayed Medical College ( 1 ),1.001,1,NA
Combination Product,"menthol 0.02%, methyl salicylate 0.05%, n- acetyl cysteine 1.2 gm%,/diclofenac sodium 1gm%",1,2021-05-18,0,1,0,0,0,Sher-E-Bangla Medical College ( 1 ),1.001,1,NA
Other,mesenchymal stromal cell-based therapy,1,2020-07-31,0,1,0,0,0,D'Or Institute for Research and Education ( 1 ),1.001,1,NA
Drug,methylene blue/ vitamin c/n-acetyl cysteine,1,2020-04-29,0,1,0,0,0,Mashhad University of Medical Sciences ( 1 ),1.001,1,2
Biological,mf59 adjuvanted sars-cov-2 sclamp vaccine,1,2020-07-13,0,1,0,0,0,The University of Queensland ( 1 ),1.001,1,1
Drug,midazolam,1,2021-08-27,0,1,0,0,0,Pfizer ( 1 ),1.001,1,NA
Biological,mrna covd19 vaccine,1,2021-04-05,0,1,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Biological,n-803,1,2020-05-07,0,1,0,0,0,"ImmunityBio, Inc. ( 1 )",1.001,1,NA
Drug,n-etsd (oral capsule),1,2021-01-27,0,1,0,0,0,"ImmunityBio, Inc. ( 1 )",1.001,1,NA
Biological,nbp2001 adjuvanted with alum (rbd 30î¼g,1,2021-02-17,0,1,0,0,0,"SK Chemicals Co., Ltd. ( 1 )",1.001,1,NA
Biological,nbp2001 adjuvanted with alum (rbd 30î¼g/dose),1,2021-02-17,0,1,0,0,0,"SK Chemicals Co., Ltd. ( 1 )",1.001,1,NA
Biological,nbp2001 adjuvanted with alum (rbd 50î¼g,1,2021-02-17,0,1,0,0,0,"SK Chemicals Co., Ltd. ( 1 )",1.001,1,NA
Biological,nbp2001 adjuvanted with alum (rbd 50î¼g/dose),1,2021-02-17,0,1,0,0,0,"SK Chemicals Co., Ltd. ( 1 )",1.001,1,NA
Drug,ntr-441,1,2021-05-04,0,1,0,0,0,Neutrolis ( 1 ),1.001,1,NA
Drug,nuvastatic,1,2020-09-06,0,1,0,0,0,Natureceuticals Sdn Bhd ( 1 ),1.001,1,NA
Biological,one covid-19 vaccine candidate (tmv-083,1,2020-07-31,0,1,0,0,0,Institut Pasteur ( 1 ),1.001,1,NA
Biological,one covid-19 vaccine candidate (tmv-083/v-591) administration - high dose,1,2020-07-31,0,1,0,0,0,Institut Pasteur ( 1 ),1.001,1,NA
Diagnostic Test,one step test,1,2021-06-16,0,1,0,0,0,Code Pharma ( 1 ),1.001,1,NA
Drug,ophtamesone,1,2020-09-29,0,1,0,0,0,University Of Anbar ( 1 ),1.001,1,1
Drug,orally suspension of cov2-ogen1,1,2021-05-14,0,1,0,0,0,Syneos Health ( 1 ),1.001,1,NA
