nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-17,NA,NA,2020-04-21,2020-04-21,2020-04-22,Actual,NA,NA,NA,NA,NA,NA,2020-04-21,2020-04-22,Actual,"May 1, 2020",Anticipated,2020-05-01,April 2020,2020-04-30,"February 1, 2022",Anticipated,2022-02-01,"September 1, 2021",Anticipated,2021-09-01,NA,Observational,CAPACoV19,,Long Term Physical Functional Limitations in Daily Living in SARS-CoV2 Infected Patients Hospitalized in the Acute Phase Then Requiring Rehabilitation,Long Term Physical Functional Performance in Daily Living in SARS-CoV2 Infected Patients Hospitalized in the Acute Phase Then Requiring Rehabilitation: a Multicentric Observational Study,Not yet recruiting,NA,NA,300,Anticipated,CHU de Reims,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-30T09:13:44Z,2020-04-30T09:13:44Z,5166646,NCT04356378,Coronavirus Infections,coronavirus infections,Other,Data record,Data record,1,,Damien JOLLY,Reims,,,France,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-17,NA,NA,2020-04-28,2020-04-17,2020-04-21,Actual,NA,NA,NA,NA,NA,NA,2020-04-28,2020-04-29,Estimate,April 2020,Anticipated,2020-04-30,April 2020,2020-04-30,October 2020,Anticipated,2020-10-31,July 2020,Anticipated,2020-07-31,NA,Observational,NA,,Antibody Seroprevalence and Rate of Asymptomatic Infections With SARS-CoV-2 in Austrian Hospital Personnel.,AntikÃ¶rperseroprÃ¤valenz Und Hintergrundinfektionsrate Von SARS-CoV-2 in Einem Ã¶sterreichischen SchlÃ¼sselkollektiv an Arbeitnehmer*Innen,Not yet recruiting,NA,NA,4000,Anticipated,AUVA,,NA,1,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,IPD will be encrypted and anonymised.,2020-04-30T09:14:42Z,2020-04-30T09:14:42Z,5166836,NCT04354779,Coronavirus Infections,coronavirus infections,Diagnostic Test,a specifically designed self-administered questionnaire,"The questionnaire consists of the following items: questions related to personal health, traveling activities, living situation, as well as inquiries of symptoms and comorbidities.",1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-12,NA,NA,2020-04-16,2020-04-16,2020-04-21,Actual,NA,NA,NA,NA,NA,NA,2020-04-16,2020-04-21,Actual,"March 31, 2020",Actual,2020-03-31,April 2020,2020-04-30,"May 31, 2020",Anticipated,2020-05-31,"May 1, 2020",Anticipated,2020-05-01,NA,Observational,TARUS,,The Ariel University Survey on Dietary Changes and Anxiety During the Coronavirus Pandemic,The Ariel University Survey on Dietary Changes and Anxiety During the Coronavirus Pandemic: TARUS,Recruiting,NA,NA,3000,Anticipated,Ariel University,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-30T09:15:14Z,2020-04-30T09:15:14Z,5166931,NCT04353934,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Ariel University,Ariel,,4070000,Israel,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-15,NA,NA,2020-04-15,2020-04-15,2020-04-20,Actual,NA,NA,NA,NA,NA,NA,2020-04-15,2020-04-20,Actual,April 2020,Anticipated,2020-04-30,April 2020,2020-04-30,December 2020,Anticipated,2020-12-31,November 2020,Anticipated,2020-11-30,NA,Observational,CALYPSO,,WGS ANALYSIS OF SARS-COV-2 POSITIVE PATIENTS,WHOLE GENOME SEQUENCING ANALYSIS OF SARS-COV-2 POSITIVE PATIENTS,Enrolling by invitation,NA,NA,5000,Anticipated,Vanda Pharmaceuticals,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,NA,2020-04-30T09:15:33Z,2020-04-30T09:15:33Z,5166990,NCT04353401,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,,"Vanda Pharmaceuticals, Inc.",Washington,District of Columbia,20037,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-16,NA,NA,2020-04-18,2020-04-17,2020-04-20,Actual,NA,NA,NA,NA,NA,NA,2020-04-18,2020-04-21,Actual,"February 19, 2020",Actual,2020-02-19,April 2020,2020-04-30,"April 6, 2020",Actual,2020-04-06,"April 4, 2020",Actual,2020-04-04,NA,Observational,NA,,Echocardiographic Manifestation in Patient With Coronavirus Disease 2019 (COVID-19),Cardiac Structural and Functional Characteristics in Coronavirus Disease 2019 (COVID-19): A Dynamic Echocardiographic Study,Completed,NA,NA,55,Actual,RenJi Hospital,,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-30T09:15:52Z,2020-04-30T09:15:52Z,5167069,NCT04352842,Coronavirus Infections,coronavirus infections,Other,Echocardiography,"An expert with 17-year professional experience performed all the echocardiography examinations using a GE LOGIQTM e portable color ultrasound diagnostic machine (GE Healthcare, WI, USA) that was specially used in the contaminated area. Two-dimensional and Doppler echocardiographic measurements were conducted following the recommendations of the American Society of Echocardiography",1,,"Ren Ji Hospital Affliated to School of Medicine, Shanghai Jiao Tong University",Shanghai,Shanghai,200127,China,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-16,NA,NA,2020-04-20,2020-04-16,2020-04-17,Actual,NA,NA,NA,NA,NA,NA,2020-04-20,2020-04-22,Actual,"April 20, 2020",Anticipated,2020-04-20,April 2020,2020-04-30,"August 31, 2026",Anticipated,2026-08-31,"December 31, 2025",Anticipated,2025-12-31,NA,Observational,ReCovER,,Registry for Clinical Presentation and Management of Patients With COVID-19 in the Emergency Room,Registry for Clinical Presentation and Management of Patients With COVID-19 in the Emergency Room,Not yet recruiting,NA,NA,500,Anticipated,University of Cologne,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:16:21Z,2020-04-30T09:16:21Z,5167152,NCT04351854,Coronavirus Infections,coronavirus infections,Other,Retrospective data collection,Retrospective data collection to identify predicting factors in the clinical picture of COVID-19 patients presenting to the ED.,1,,University Hospital of Cologne,Cologne,,50937,Germany,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-15,NA,NA,2020-04-22,2020-04-15,2020-04-17,Actual,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Actual,"April 9, 2020",Actual,2020-04-09,April 2020,2020-04-30,April 2022,Anticipated,2022-04-30,April 2022,Anticipated,2022-04-30,NA,Observational,NA,,A Systems Approach to Predict the Outcome of SARS-CoV-2 in the Population of a City; COVID-19,A Systems Approach to Predict the Outcome of SARS-CoV-2 in the Population of a City,Recruiting,NA,NA,10000,Anticipated,"University Hospital, Basel, Switzerland",,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-30T09:16:25Z,2020-04-30T09:16:25Z,5167165,NCT04351503,Coronavirus Infections,coronavirus infections,Other|Other|Other,Study A|Study B|Study C,"Study A: collection of data of clinical outcomes and features of SARS-CoV-2 infection. Demographical, clinical, microbiological, laboratory, epidemiological and hospital-associated data will be analyzed. For this study part, only patients with a visit at the University Hospital Basel will be included in order to access patient charts.|Study B: collection of epidemiological surveillance data to describe the epidemiology of the SARS-CoV-2 outbreak. The epidemic transmission of Influenza viruses in the City of Basel serves as an important reference to identify similarities and differences to the pandemic SARS-CoV-2 situation. In addition data collected during the Influenza projects - in particular data on statistical blocks of the city, e.g. population density, income and living space will be re-used. Already collected and stored samples such as serum and respiratory material (leftover material) will be (re-) used.|Study C: data collection for viral evolution. Respiratory materials and matching blood and tissue materials will be used to perform whole genome sequencing to study pathogen evolution between hosts as well as in-host evolution. No additional material will be collected.",3,Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting,Viollier AG|University Hospital Basel|Biozentrum University of Basel|sciCore University of Basel|Department of Biosystems Science and Engineering ETH Zurich|Swiss Institute of Bioinformatics,Allschwil|Basel|Basel|Basel|Basel|Geneva,|||||,4123|4031|4056|4056|4058|1202,Switzerland|Switzerland|Switzerland|Switzerland|Switzerland|Switzerland,6
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-13,NA,NA,2020-04-26,2020-04-13,2020-04-16,Actual,NA,NA,NA,NA,NA,NA,2020-04-26,2020-04-28,Actual,"April 10, 2020",Actual,2020-04-10,April 2020,2020-04-30,June 2021,Anticipated,2021-06-30,June 2021,Anticipated,2021-06-30,NA,Observational,BLAST COVID-19,,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,Recruiting,NA,NA,50000,Anticipated,William Beaumont Hospitals,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,Samples With DNA,"
      Whole blood and serum
    ",NA,NA,NA,No,NA,2020-04-30T09:16:46Z,2020-04-30T09:16:46Z,5167240,NCT04349202,Coronavirus Infections,coronavirus infections,Diagnostic Test,EUROIMMUN assay,Serology testing to detect SARS-CoV-2 antibodies,1,Recruiting|Not yet recruiting,Beaumont Health System|Beaumont Health,Royal Oak|Royal Oak,Michigan|Michigan,48073|48073,United States|United States,2
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-13,NA,NA,2020-04-17,2020-04-14,2020-04-16,Actual,NA,NA,NA,NA,NA,NA,2020-04-17,2020-04-20,Actual,"April 20, 2020",Anticipated,2020-04-20,April 2020,2020-04-30,"December 1, 2020",Anticipated,2020-12-01,"October 1, 2020",Anticipated,2020-10-01,NA,Observational,NA,,Screening & Risk Assessment of Healthcare Workers & Infection Control in University & COVID-19 Quarantine Hospitals,Screening and Risk Assessment of Healthcare Workers and Infection Control in University and COVID-19 Quarantine Hospitals Using Real-time Geospatial Mapping for Emergency Healthcare Resource Mobilization and Management,Not yet recruiting,NA,NA,3000,Anticipated,Ain Shams University,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:16:57Z,2020-04-30T09:16:57Z,5167279,NCT04348214,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,,Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center,Cairo,Non-US,11566,Egypt,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-13,NA,NA,2020-04-17,2020-04-14,2020-04-15,Actual,NA,NA,NA,NA,NA,NA,2020-04-17,2020-04-20,Actual,"April 14, 2020",Actual,2020-04-14,April 2020,2020-04-30,"December 1, 2020",Anticipated,2020-12-01,"October 1, 2020",Anticipated,2020-10-01,NA,Observational,Explore,,Retrospective Study on Severe Respiratory Illness to Access the Presence of COVID-19,Retrospective Study From November 2019 -Febrauary 2020 on Severe Respiratory Illness to Access the Presence or Absence of COVID-19 in Patients Samples by Real-time PcR,Recruiting,NA,NA,500,Anticipated,Ain Shams University,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Oropharyngeal and nasopharyngeal swabs for hospitalized SARI patients who meet the WHO
      standard SARI case definition.
    ",NA,NA,NA,No,NA,2020-04-30T09:17:10Z,2020-04-30T09:17:10Z,5167304,NCT04346056,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting|Recruiting,Faculty of Medicine Ain Shams University|Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center,Cairo|Cairo,Non-US|Non-US,11556|11566,Egypt|Egypt,2
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-13,NA,NA,2020-04-17,2020-04-13,2020-04-15,Actual,NA,NA,NA,NA,NA,NA,2020-04-17,2020-04-20,Actual,"April 20, 2020",Anticipated,2020-04-20,April 2020,2020-04-30,"December 1, 2020",Anticipated,2020-12-01,"October 1, 2020",Anticipated,2020-10-01,NA,Observational,Strain,,To Access the Egyptian COVID-19 Whole Genome by NGS and Compare to the International Worldwide Database,Strain Study: To Access the Egyptian COVID-19 Whole Genome (Dominant Strain) by Next Generation Sequencing (NGS) and Compare to the International Worldwide Database,Not yet recruiting,NA,NA,100,Anticipated,Ain Shams University,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Nasopharyngeal & oropharyngeal swabs will be taken from patients with COVID-19
    ",NA,NA,NA,No,NA,2020-04-30T09:17:11Z,2020-04-30T09:17:11Z,5167305,NCT04346043,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,,Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center,Cairo,Non-US,11556,Egypt,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-13,NA,NA,2020-04-27,2020-04-13,2020-04-14,Actual,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-28,Actual,"May 15, 2020",Anticipated,2020-05-15,April 2020,2020-04-30,"April 1, 2025",Anticipated,2025-04-01,"July 1, 2024",Anticipated,2024-07-01,NA,Observational,NIAID,,Collection of Anti-SARS-CoV-2 Immune Plasma,A Pilot Study for Collection of Anti-SARS-CoV-2 Immune Plasma,Recruiting,NA,NA,1500,Anticipated,National Institutes of Health Clinical Center (CC),,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Serum, plasma
    ",NA,NA,NA,NA,NA,2020-04-30T09:17:17Z,2020-04-30T09:17:17Z,5167326,NCT04344977,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Bloodworks Northwest,Seattle,Washington,98104,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-08,NA,NA,2020-04-27,2020-04-08,2020-04-13,Actual,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-28,Actual,"April 8, 2020",Actual,2020-04-08,April 2020,2020-04-30,December 2021,Anticipated,2021-12-31,December 2021,Anticipated,2021-12-31,NA,Observational,NA,,COVID-19 Community Research Partnership,"A Multicenter, Prospective Study of COVID-19 Using Real-Time Syndromic Surveillance, Scheduled At-home Serologic Testing, and Electronic Health Records","Active, not recruiting",NA,NA,150000,Anticipated,Wake Forest University Health Sciences,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:17:28Z,2020-04-30T09:17:28Z,5167358,NCT04342884,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,,Wake Forest Baptist Medical Center,Winston-Salem,North Carolina,27157,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-03-26,NA,NA,2020-04-27,2020-03-26,2020-03-27,Actual,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-29,Estimate,"March 13, 2020",Actual,2020-03-13,April 2020,2020-04-30,"February 28, 2023",Anticipated,2023-02-28,"February 28, 2021",Anticipated,2021-02-28,NA,Observational,CORSER,,Sero-epidemiological Study of the SARS-CoV-2 Virus Responsible for COVID-19 in France,Sero-epidemiological Study of the SARS-CoV-2 Virus in France: Constitution of a Collection of Human Biological Samples,Recruiting,NA,NA,1000,Anticipated,Institut Pasteur,,NA,6,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      serum, plasma
    ",NA,NA,NA,Undecided,NA,2020-04-30T09:18:30Z,2020-04-30T09:18:30Z,5167586,NCT04325646,Coronavirus Infections,coronavirus infections,Other,Human Biological samples,Blood samples for serological tests,1,Completed|Completed|Recruiting|Recruiting|Completed|Recruiting|Completed|Completed|Recruiting|Recruiting|Completed|Completed|Completed|Completed|Completed|Completed,CHU Amiens-Picardie|CHU FranÃ§ois Mitterand|Centre Hospitalier DÃ©partemental de VendÃ©e|CHU Limoges|HÃ´pital de la Croix Rousse|CHRU de Nancy|HÃ´pitaux de Brabois|CHR OrlÃ©ans|Institut Pasteur|HÃ´pital la PitiÃ© SalpetriÃ¨re|CHU Poitiers|HÃ´pital Pontchaillou|CHU Saint-Etienne|CHRU de Strasbourg|CH de Tourcoing|HÃ´pital Bretonneau,Amiens|Dijon|La Roche-sur-Yon|Limoges|Lyon|Nancy|Nancy|OrlÃ©ans|Paris|Paris|Poitiers|Rennes|Saint-Ã‰tienne|Strasbourg|Tourcoing|Tours,|||||||||||||||,||||||||75015|||||||,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France,16
"ClinicalTrials.gov processed this data on April 17, 2020",2020-03-31,NA,NA,2020-04-04,2020-04-04,2020-04-08,Actual,NA,NA,NA,NA,NA,NA,2020-04-04,2020-04-08,Actual,"April 6, 2020",Anticipated,2020-04-06,March 2020,2020-03-31,"January 29, 2021",Anticipated,2021-01-29,"December 29, 2020",Anticipated,2020-12-29,NA,Observational,POCUSCO,,Point Of Care UltraSonography for Risk-stratification of COVID-19 Patients,Point Of Care UltraSonography to Perform Risk-stratification of Patients With Suspected or Confirmed COVID-19 - POCUSCO Study,Not yet recruiting,NA,NA,300,Anticipated,"University Hospital, Angers",,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-18T09:10:37Z,2020-04-18T09:10:37Z,5035657,NCT04338100,Coronavirus Infections,coronavirus infections,Procedure,Follow-up at 14 days,Point of care chest ultrasonography and 14-day follow-up to assess the evolution of the infection and care requirement (invasive ventilation or death),1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 08, 2020",2020-03-26,NA,NA,2020-03-26,2020-03-26,2020-03-30,Actual,NA,NA,NA,NA,NA,NA,2020-03-26,2020-03-30,Actual,"March 25, 2020",Actual,2020-03-25,March 2020,2020-03-31,"September 25, 2022",Anticipated,2022-09-25,"September 25, 2022",Anticipated,2022-09-25,NA,Observational,NA,,Audio Data Collection for Identification and Classification of Coughing,Audio Data Collection for Identification and Classification of Coughing,Recruiting,NA,NA,1000,Anticipated,HealthMode Inc.,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-09T09:14:27Z,2020-04-09T09:14:27Z,4926554,NCT04326309,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Virtual Facility,Bronx,New York,10461,United States,1
"ClinicalTrials.gov processed this data on April 03, 2020",2020-03-24,NA,NA,2020-03-26,2020-03-26,2020-03-27,Actual,NA,NA,NA,NA,NA,NA,2020-03-26,2020-03-27,Actual,"April 1, 2020",Anticipated,2020-04-01,March 2020,2020-03-31,December 2020,Anticipated,2020-12-31,November 2020,Anticipated,2020-11-30,NA,Observational,NA,,Prevalence and Incidence of COVID-19 Infection in Patients With Chronic Plaque Psoriasis on Immunosuppressant Therapy,Prevalence and Incidence of COVID-19 Infection in Patients With Chronic Plaque Psoriasis on Immunosuppressant Therapy,Not yet recruiting,NA,NA,300,Anticipated,Universita di Verona,,NA,3,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Nasopharyngeal swabs
    ",NA,NA,NA,NA,NA,2020-04-06T08:55:08Z,2020-04-06T08:55:08Z,4894228,NCT04324866,Coronavirus Infections,coronavirus infections,Diagnostic Test,Nasopharyngeal swab,Nasopharyngeal swab for the molecular diagnosis of COVID-19 infection,1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 22, 2020",2020-04-03,NA,NA,2020-04-09,2020-04-03,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-13,Actual,"April 12, 2020",Anticipated,2020-04-12,April 2020,2020-04-30,"June 10, 2020",Anticipated,2020-06-10,"May 10, 2020",Anticipated,2020-05-10,NA,Observational,NA,,"Physical Activity Level, Stress Level, Sleep Quality in Pregnant Women During Covid-19 Quarantine","Determination Of Physical Activity, Sleep And Stress Level Of Pregnant Women In The CovÄ±d-19 Quarantine Period",Not yet recruiting,NA,NA,100,Anticipated,Istanbul KÃ¼ltÃ¼r University,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-23T09:14:28Z,2020-04-23T09:14:28Z,5086912,NCT04336787,Coronavirus Infections,coronavirus infections,Other,Survey,"A Google Survey which included that consent form, demographic information form, International Physical Activity Questionnaire, Pittsburgh Sleep Quality Index, Perceived Stress Scale and The Numeric Rating Scale will be created. Then the survey link will be shared via social media such as Whatsapp, Facebook, etc.",1,,Istanbul University - CerrahpaÅŸa,Istanbul,,,Turkey,1
"ClinicalTrials.gov processed this data on April 03, 2020",2020-03-25,NA,NA,2020-03-25,2020-03-25,2020-03-26,Actual,NA,NA,NA,NA,NA,NA,2020-03-25,2020-03-26,Actual,"March 31, 2020",Anticipated,2020-03-31,March 2020,2020-03-31,"September 30, 2020",Anticipated,2020-09-30,"September 30, 2020",Anticipated,2020-09-30,NA,Observational,CovidSurg,,Outcomes of Surgery in COVID-19 Infection: International Cohort Study (CovidSurg),Outcomes of Surgery in COVID-19 Infection: International Cohort Study (CovidSurg),Not yet recruiting,NA,NA,1000,Anticipated,University of Birmingham,,NA,1,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,No individual participant data will be available to other researchers,2020-04-05T09:04:25Z,2020-04-05T09:04:25Z,4883038,NCT04323644,Coronavirus Infections,coronavirus infections,Procedure,Surgery,Emergency or elective surgery,1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 03, 2020",2020-03-24,NA,NA,2020-03-24,2020-03-24,2020-03-26,Actual,NA,NA,NA,NA,NA,NA,2020-03-24,2020-03-26,Actual,"March 9, 2020",Actual,2020-03-09,March 2020,2020-03-31,"May 1, 2020",Anticipated,2020-05-01,"May 1, 2020",Anticipated,2020-05-01,NA,Observational,NA,,Factors Associated With a Positive SARS-CoV-2 Serology in Contact Subjects at High/Moderate Risk of Coronavirus SARS-CoV-2 Infection (CoV-CONTACT-SERO),Factors Associated With a Positive SARS-CoV-2 Serology in Contact Subjects at High/Moderate Risk of Coronavirus SARS-CoV-2 Infection,Recruiting,NA,NA,300,Anticipated,"Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France",,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood samples
    ",NA,NA,NA,Undecided,NA,2020-04-05T09:05:16Z,2020-04-05T09:05:16Z,4883242,NCT04322279,Coronavirus Infections,coronavirus infections,Diagnostic Test|Genetic,Serology|Sequencing,SARS-CoV-2 serology|Whole exome sequencing,2,Recruiting,CIC 1425,Paris,,,France,1
"ClinicalTrials.gov processed this data on April 08, 2020",2020-03-24,NA,NA,2020-03-26,2020-03-26,2020-03-30,Actual,NA,NA,NA,NA,NA,NA,2020-03-26,2020-03-30,Actual,"February 24, 2020",Actual,2020-02-24,March 2020,2020-03-31,"June 17, 2021",Anticipated,2021-06-17,"February 28, 2021",Anticipated,2021-02-28,NA,Observational,NA,,Coronavirus Disease 2019 (COVID-19) Study of Hospitalized Patients in Hong Kong,"Comprehensive Clinical, Virological, Microbiological, Immunological and Laboratory Monitoring of Patients Hospitalized With Coronavirus Disease 2019 (COVID-19)",Recruiting,NA,NA,170,Anticipated,Chinese University of Hong Kong,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-09T09:14:43Z,2020-04-09T09:14:43Z,4926615,NCT04325919,Coronavirus Infections,coronavirus infections,Other,No intervention,No intervention,1,Recruiting,Prince of Wales Hospital,Sha Tin,,,Hong Kong,1
"ClinicalTrials.gov processed this data on April 17, 2020",2020-04-06,NA,NA,2020-04-06,2020-04-06,2020-04-09,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-09,Actual,"April 15, 2020",Anticipated,2020-04-15,April 2020,2020-04-30,October 2020,Anticipated,2020-10-31,October 2020,Anticipated,2020-10-31,NA,Observational,NA,,Assessment of Exam Findings in Coronavirus Disease 2019 (COVID-19) With Point-of-Care Ultrasonography (POCUS),Assessment of Exam Findings in Coronavirus Disease 2019 (COVID-19) With Point-of-Care Ultrasonography (POCUS),Not yet recruiting,NA,NA,500,Anticipated,University of Minnesota,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-19T09:01:58Z,2020-04-19T09:01:58Z,5047273,NCT04339998,Coronavirus Infections,coronavirus infections,Diagnostic Test,Point-of-Care Ultrasonography (POCUS),"The POCUS exam of the heart will capture 2 standard views commonly used to assess general cardiac function at the point of care. The details of POCUS views and exam findings of interest are outline below:
Pulmonary POCUS Evaluation:
B lines: absent (< 3 lines), present (> 3 lines), fused
Consolidation: yes or no
a. Bilateral: yes or no
Pleural Effusion: yes or no
Other pleural abnormalities: yes or no Score each finding based on degree of abnormalities and number of sites with abnormalities
Cardiac POCUS Evaluation:
Parasternal long axis
Parasternal short axis
Qualitative LVEF: Normal, hyperdynamic, mild-moderately depressed, severely depressed
EPSS (E-point septal separation): normal (<10 mm), abnormal (>10 mm)
Left ventricular (LV) mass approximation by septal thickness
Left Ventricular Chamber Size by internal diameter at diastole",1,|,University of Minnesota Medical Center (UMMC)|M Health Fairview Bethesda Hospital,Minneapolis|Saint Paul,Minnesota|Minnesota,55455|55103,United States|United States,2
"ClinicalTrials.gov processed this data on April 17, 2020",2020-04-06,NA,NA,2020-04-06,2020-04-06,2020-04-09,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-09,Actual,"March 1, 2020",Actual,2020-03-01,April 2020,2020-04-30,"April 15, 2020",Anticipated,2020-04-15,"April 15, 2020",Anticipated,2020-04-15,NA,Observational,NA,,COVID-19 Risk Stratification,COVID-19 Risk Stratification,Recruiting,NA,NA,1500,Anticipated,Brigham and Women's Hospital,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,Investigators may provide reasonable requests for IPD. These requests will be reviewed by the study team and institution on a case by case basis.,2020-04-19T09:02:22Z,2020-04-19T09:02:22Z,5047344,NCT04339387,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Brigham and Women's Hospital,Boston,Massachusetts,02115,United States,1
