nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,mesh_type
NA,2020-08-06,NA,NA,2020-11-06,2020-08-24,2020-08-25,Actual,NA,NA,NA,NA,NA,NA,2020-11-06,2020-11-09,Actual,"July 14, 2020",Actual,2020-07-14,November 2020,2020-11-30,"November 3, 2020",Actual,2020-11-03,"November 3, 2020",Actual,2020-11-03,NA,Observational,ThalaCoV,NA,Frequency of COVID-19 Antibodies in Patients With Hereditary Hematological Diseases,Study on the Frequency of COVID-19 Antibodies in Patients With Hereditary Hematological Diseases Subject to Chronic Transfusion Support.,Completed,NA,NA,63,Actual,University of Milano Bicocca,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,Serum,NA,NA,NA,NA,NA,2021-10-12T06:56:22Z,2021-10-12T06:56:22Z,1113905,NCT04526405,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-17,NA,NA,2021-09-20,2020-08-24,2020-08-25,Actual,NA,NA,NA,NA,NA,NA,2021-09-20,2021-09-21,Actual,"December 15, 2020",Actual,2020-12-15,September 2021,2021-09-30,"November 30, 2021",Anticipated,2021-11-30,"August 30, 2021",Actual,2021-08-30,NA,Interventional,VitCov,NA,"High Dose Vitamin-D Substitution in Patients With COVID-19: a Randomized Controlled, Multi Center Study","High Dose Vitamin-D Substitution in Patients With COVID-19: a Randomized Controlled, Multi Center Study","Active, not recruiting",NA,Not Applicable,80,Actual,"Cantonal Hosptal, Baselland",NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:56:27Z,2021-10-12T06:56:27Z,1114375,NCT04525820,Coronavirus Infections,coronavirus infections,mesh-list
NA,2020-08-18,NA,NA,2021-04-09,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-04-09,2021-04-13,Actual,"July 30, 2020",Actual,2020-07-30,April 2021,2021-04-30,"February 28, 2021",Actual,2021-02-28,"February 28, 2021",Actual,2021-02-28,NA,Interventional,BTL-TML-COVID,NA,A Study in Adults to Test the Effects of Low Dose Thimerosal on Symptoms of COVID-19,"A Double-blind, Placebo-controlled, Phase 2 Trial of Sublingual Low-Dose Thimerosal in Adults With Symptomatic SARS-CoV-2 Infection",Completed,NA,Phase 2,28,Actual,"Beech Tree Labs, Inc.",NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:56:50Z,2021-10-12T06:56:50Z,1116110,NCT04522830,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-21,NA,NA,2021-02-24,2020-08-22,2020-08-25,Actual,NA,NA,NA,NA,NA,NA,2021-02-24,2021-02-26,Actual,"June 3, 2020",Actual,2020-06-03,February 2021,2021-02-28,"February 11, 2021",Actual,2021-02-11,"November 11, 2020",Actual,2020-11-11,NA,Observational,NA,NA,Endothelial Function and COVID-19,Assessment of Endothelial Vasodilator Function in COVID-19 Patients,Completed,NA,NA,110,Actual,"Hospital San Carlos, Madrid",NA,NA,3,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:56:29Z,2021-10-12T06:56:29Z,1114530,NCT04525443,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-07-06,NA,NA,2020-08-20,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2020-08-20,2020-08-21,Actual,"June 1, 2020",Actual,2020-06-01,July 2020,2020-07-31,February 2021,Anticipated,2021-02-28,September 2020,Anticipated,2020-09-30,NA,Observational,CODYS,NA,Measurement of the Efficacy of MORPHINE in the Early Management of Dyspnea in COVID-19 Positive Patients,Retrospective Study of the Measurement of the Efficacy of MORPHINE in the Early Management of Dyspnea in COVID-19 Positive Patients With Moderate to Severe Impairment Without Objective of Resuscitation Management (Level of Care 3 and 4) at the Hospices Civils of Lyon,Recruiting,NA,NA,200,Anticipated,Hospices Civils de Lyon,NA,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:56:56Z,2021-10-12T06:56:56Z,1116528,NCT04522037,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-07,NA,NA,2021-08-24,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-08-24,2021-08-25,Actual,"August 11, 2020",Actual,2020-08-11,August 2021,2021-08-31,December 2021,Anticipated,2021-12-31,"March 1, 2021",Actual,2021-03-01,NA,Interventional,NA,NA,Impact of COVID-19 on Mental Health of Patients With Skin Picking,Impact of COVID-19 Pandemia on the Mental Health of Patients With Skin Picking Disorder and Their Treatment With Remote Cognitive Behavioral Therapy: Controlled Clinical Trial,"Active, not recruiting",NA,Not Applicable,18,Actual,Hospital de Clinicas de Porto Alegre,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:56:52Z,2021-10-12T06:56:52Z,1116239,NCT04522492,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-20,NA,NA,2021-06-03,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-06-03,2021-06-07,Actual,"August 27, 2020",Actual,2020-08-27,June 2021,2021-06-30,February 2022,Anticipated,2022-02-28,December 2021,Anticipated,2021-12-31,NA,Interventional,C3-RCT,NA,Catalysing the Containment of COVID-19,"The C3 Nitazoxanide for Mild to Moderate COVID-19 in HIV-infected and HIV-uninfected Adults With Enhanced Risk: a Double-blind, Randomised, Placebo-controlled Trial in a Resource-poor Setting",Recruiting,NA,Phase 2/Phase 3,440,Anticipated,University of Cape Town,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:56:48Z,2021-10-12T06:56:48Z,1115890,NCT04523090,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-18,NA,NA,2021-09-12,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-09-12,2021-09-20,Actual,"April 6, 2020",Actual,2020-04-06,September 2021,2021-09-30,"September 1, 2022",Anticipated,2022-09-01,"September 1, 2022",Anticipated,2022-09-01,NA,Observational,TARGET-VIP,NA,Prospective Hospital Registry of Patients With Suspected or Confirmed Coronavirus Infection (COVID-19) and Community-acquired Pneumonia,Prospective Hospital Registry of Patients With Suspected or Confirmed Coronavirus Infection (COVID-19) and Community-acquired Pneumonia,"Active, not recruiting",NA,NA,1124,Actual,National Medical Research Center for Therapy and Preventive Medicine,NA,NA,4,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:56:56Z,2021-10-12T06:56:56Z,1116591,NCT04522076,Coronavirus Infections,coronavirus infections,mesh-list
NA,2020-08-19,NA,NA,2020-08-19,2020-08-19,2020-08-20,Actual,NA,NA,NA,NA,NA,NA,2020-08-19,2020-08-21,Actual,"July 24, 2020",Actual,2020-07-24,August 2020,2020-08-31,"November 30, 2020",Anticipated,2020-11-30,"October 30, 2020",Anticipated,2020-10-30,NA,Interventional,CARR-COV-02,NA,Efficacy of a Nasal Spray Containing Iota-Carrageenan in the Prophylaxis of COVID-19 Disease in Health Personnel Dedicated to Patients Care With COVID-19 Disease,"Efficacy of a Nasal Spray Containing Iota-Carrageenan in the Prophylaxis of COVID-19 Disease in Health Personnel Dedicated to Patients Care With COVID-19. Multicenter, Randomized, Double-blind, Placebo-controlled Trial (CARR-COV-02)",Recruiting,NA,Phase 4,400,Anticipated,Centro de EducaciÃ³n Medica e Investigaciones ClÃ­nicas Norberto Quirno,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:57:02Z,2021-10-12T06:57:02Z,1116985,NCT04521322,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-13,NA,NA,2020-08-19,2020-08-19,2020-08-20,Actual,NA,NA,NA,NA,NA,NA,2020-08-19,2020-08-20,Actual,"January 1, 2020",Actual,2020-01-01,August 2020,2020-08-31,"April 30, 2020",Actual,2020-04-30,"April 30, 2020",Actual,2020-04-30,NA,Observational,NA,NA,Staff Absenteeism and Delivery of Healthcare Services During the COVID-19 Pandemic,Staff Absenteeism and Delivery of Healthcare Services During the COVID-19 Pandemic at Wiktor Dega Orthopedic and Rehabilitation Clinical Hospital in PoznaÅ„,Completed,NA,NA,700,Actual,Poznan University of Medical Sciences,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:02Z,2021-10-12T06:57:02Z,1116862,NCT04521010,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-21,NA,NA,2020-12-22,2020-08-21,2020-08-24,Actual,NA,NA,NA,NA,NA,NA,2020-12-22,2020-12-24,Actual,"April 20, 2020",Actual,2020-04-20,December 2020,2020-12-31,"September 30, 2020",Actual,2020-09-30,"August 31, 2020",Actual,2020-08-31,NA,Observational,CARDYCOVID,NA,Cardiac Dysfunction in Critically Ill Patients With COVID-19,Cardiac Dysfunction in Critically Ill Patients With COVID-19,Completed,NA,NA,132,Actual,"Sahlgrenska University Hospital, Sweden",NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,Blood samples,NA,NA,NA,Undecided,NA,2021-10-12T06:56:38Z,2021-10-12T06:56:38Z,1115182,NCT04524234,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-04-25,NA,NA,2020-08-18,2020-08-18,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2020-08-18,2020-08-19,Actual,"May 3, 2020",Actual,2020-05-03,August 2020,2020-08-31,"December 1, 2020",Anticipated,2020-12-01,"December 1, 2020",Anticipated,2020-12-01,NA,Interventional,NA,NA,Determination of the Hemoadsorption Impact as Adjunctive Treatment Upon the Support Therapy of COVID-19,"Comparing the Cytokine Clearances of Pro-, and Anti-inflammatory Mediators, Chemokines and Complement in the COVID-19 Patients Treated With CytoSorb as Compared to the Same Patient Population Who do Not Receive Blood Purification Treatment",Recruiting,NA,Not Applicable,24,Anticipated,Brugmann University Hospital,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:20Z,2021-10-12T06:57:20Z,1118282,NCT04518969,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-07-17,NA,NA,2021-08-04,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-08-04,2021-08-05,Actual,"July 7, 2020",Actual,2020-07-07,August 2021,2021-08-31,"May 29, 2021",Actual,2021-05-29,"February 28, 2021",Actual,2021-02-28,NA,Observational,PAMOCOS,NA,ProAdrenomedullin Assessment of Multi-Organ Failure in COvid-19 Sepsis,ProAdrenomedullin Assessment of Multi-Organ Failure in COvid-19 Sepsis,Completed,NA,NA,183,Actual,Centre Hospitalier de Lens,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:56:53Z,2021-10-12T06:56:53Z,1116338,NCT04522310,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-07-02,NA,NA,2020-12-11,2020-08-19,2020-08-20,Actual,NA,NA,NA,NA,NA,NA,2020-12-11,2020-12-14,Actual,"July 2, 2020",Actual,2020-07-02,December 2020,2020-12-31,"December 31, 2020",Anticipated,2020-12-31,"December 31, 2020",Anticipated,2020-12-31,4 Weeks,Observational [Patient Registry],NA,NA,Epidemiological Analysis of Ambulant Patients in a COVID-19 Outpatient Clinic,Epidemiological Analysis of Ambulant Patients in a COVID-19 Outpatient Clinic,Recruiting,NA,NA,1000,Anticipated,Wissenschaftliches Institut Bethanien e.V,NA,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:03Z,2021-10-12T06:57:03Z,1116934,NCT04521088,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-19,2020-09-30,NA,2020-10-07,2020-08-20,2020-08-24,Actual,2020-10-07,2020-10-09,Actual,NA,NA,NA,2020-10-07,2020-10-09,Actual,"June 1, 2020",Actual,2020-06-01,October 2020,2020-10-31,"September 10, 2020",Actual,2020-09-10,"August 22, 2020",Actual,2020-08-22,NA,Interventional,NA,We followed intention to treat analysis; SPSS (Statistical Package for Social Sciences) version 20 was used to analyze data. To compare mean of the two group chi square test was done.,Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection,A Phase III Trial to Promote Recovery From Covid 19 With Combined Doxycycline and Ivermectin Along Standard Care,Completed,NA,Phase 3,400,Actual,Dhaka Medical College,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,September 2020 to December 2020,Person who are investigating covid-19 in various aspects,NA,Yes,"Patients age, sex, Date of covid positive report, Symtoms,Date of covid negative report, post covid symptoms, time to recover.",2021-10-12T06:56:41Z,2021-10-12T06:56:41Z,1115487,NCT04523831,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-05-12,NA,NA,2021-09-29,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-09-29,2021-09-30,Actual,"May 22, 2020",Actual,2020-05-22,September 2021,2021-09-30,"September 1, 2021",Actual,2021-09-01,"September 1, 2021",Actual,2021-09-01,NA,Interventional,NA,NA,Does Quality of Life Decline During the COVID-19 Pandemic and Can we Change Behaviour to Improve Poor Quality of Life?,Does Quality of Life Decline During the COVID-19 Pandemic and Can we Change Behaviour to Improve Poor Quality of Life?,Completed,NA,Not Applicable,274,Actual,University of Manchester,NA,3,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,WHOQOL COMBI data cannot be shared with researchers outside of the research team.,2021-10-12T06:56:56Z,2021-10-12T06:56:56Z,1116607,NCT04522128,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-20,NA,NA,2021-07-30,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-07-30,2021-08-02,Actual,"April 1, 2020",Actual,2020-04-01,July 2021,2021-07-31,"May 1, 2022",Anticipated,2022-05-01,"December 1, 2021",Anticipated,2021-12-01,NA,Observational,RECOVER,NA,Rehabilitation After Admission in Intensive Care Unit for COVID-19,Rehabilitation After Admission in Intensive Care Unit for COVID-19: an Observational Study,Recruiting,NA,NA,40,Anticipated,Centre Hospitalier RÃ©gional Metz-Thionville,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:56:49Z,2021-10-12T06:56:49Z,1115929,NCT04523051,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-19,NA,NA,2021-09-29,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-09-29,2021-10-01,Actual,"October 8, 2020",Actual,2020-10-08,August 2021,2021-08-31,"December 31, 2021",Anticipated,2021-12-31,"November 30, 2021",Anticipated,2021-11-30,NA,Interventional,NA,NA,Double-blind Study to Evaluate the Safety and Efficacy of Antroquinonol in Mild-Moderate COVID-19 Hospitalized Patients,"A Phase 2 Randomized, Double-blind, Placebo-controlled, Proof of Concept Study to Evaluate the Safety and Efficacy of Antroquinonol in Hospitalized Patients With Mild to Moderate Pneumonia Due to COVID-19",Recruiting,NA,Phase 2,174,Anticipated,Golden Biotechnology Corporation,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:56:46Z,2021-10-12T06:56:46Z,1115796,NCT04523181,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-07-24,NA,NA,2020-12-01,2020-08-18,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2020-12-01,2020-12-02,Actual,"July 26, 2020",Actual,2020-07-26,October 2020,2020-10-31,"October 25, 2021",Anticipated,2021-10-25,"October 25, 2021",Anticipated,2021-10-25,NA,Interventional,NA,NA,"Study Assessing the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Repeated Subcutaneous Doses of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies (REGN10933+REGN10987) in Adult Volunteers as Related to COVID-19","A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study Assessing the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Repeated Subcutaneous Doses of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies (REGN10933+REGN10987) in Adult Volunteers","Active, not recruiting",NA,Phase 1,974,Actual,Regeneron Pharmaceuticals,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"Individual anonymized participant data will be considered for sharing once the indication has been approved by a regulatory body, if there is legal authority to share the data and there is not a reasonable likelihood of participant re-identification.","Qualified researchers may request access to anonymized patient level data or aggregate study data when Regeneron has received marketing authorization from major health authorities (e.g., FDA, European Medicines Agency [EMA], Pharmaceuticals and Medical Devices Agency [PMDA], etc) for the product and indication, has the legal authority to share the data, and has made the study results publicly available (eg, scientific publication, scientific conference, clinical trial registry).",https://vivli.org,Yes,All Individual Patient Data (IPD) that underlie publicly available results will be considered for sharing,2021-10-12T06:57:13Z,2021-10-12T06:57:13Z,1117688,NCT04519437,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-18,NA,NA,2021-08-02,2020-08-18,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2021-08-02,2021-08-03,Actual,"May 18, 2020",Actual,2020-05-18,August 2021,2021-08-31,"August 18, 2025",Anticipated,2025-08-18,"August 18, 2021",Anticipated,2021-08-18,NA,Interventional,COV-RECUP,NA,Medium and Long Term Follow-up of COVID-19 Infected Patients: Research and Characterization of Pulmonary Sequelae,Medium and Long Term Follow-up of SARS-COV-2 Infected Patients Treated at BesanÃ§on and Dijon Hospitals: Research and Characterization of Pulmonary Sequelae,"Active, not recruiting",NA,Not Applicable,140,Anticipated,Centre Hospitalier Universitaire de Besancon,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:18Z,2021-10-12T06:57:18Z,1118049,NCT04519320,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-20,NA,NA,2021-03-16,2020-08-20,2020-08-21,Actual,NA,NA,NA,NA,NA,NA,2021-03-16,2021-03-18,Actual,"August 21, 2020",Actual,2020-08-21,March 2021,2021-03-31,"February 2, 2021",Actual,2021-02-02,"February 2, 2021",Actual,2021-02-02,NA,Interventional,COVID-19,NA,An Exploratory Study of ADR-001 in Patients With Severe Pneumonia Caused by SARS-CoV-2 Infection,An Exploratory Study of ADR-001 in Patients With Severe Pneumonia Caused by SARS-CoV-2 Infection,Completed,NA,Phase 1,6,Actual,"Rohto Pharmaceutical Co., Ltd.",NA,1,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:56:52Z,2021-10-12T06:56:52Z,1116150,NCT04522986,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-14,NA,NA,2021-03-08,2020-08-15,2020-08-18,Actual,NA,NA,NA,NA,NA,NA,2021-03-08,2021-03-09,Actual,"September 21, 2020",Actual,2020-09-21,March 2021,2021-03-31,"September 25, 2020",Actual,2020-09-25,"September 25, 2020",Actual,2020-09-25,NA,Observational,SeroCovEms,NA,Study of SARS-CoV2 Virus (COVID-19) Seroprevalence Among Lyon-Bron Military Health Schools Personnel,Study of SARS-CoV2 Virus (COVID-19) Seroprevalence Among Lyon-Bron Military Health Schools Personnel,Completed,NA,NA,392,Actual,Direction Centrale du Service de SantÃ© des ArmÃ©es,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,Blood samples,NA,NA,NA,Undecided,NA,2021-10-12T06:57:34Z,2021-10-12T06:57:34Z,1119110,NCT04516928,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-14,NA,NA,2020-08-17,2020-08-17,2020-08-18,Actual,NA,NA,NA,NA,NA,NA,2020-08-17,2020-08-18,Actual,"May 12, 2020",Actual,2020-05-12,August 2020,2020-08-31,"June 30, 2020",Actual,2020-06-30,"June 30, 2020",Actual,2020-06-30,NA,Observational,canSEROcov,NA,Study of the Specific Seroprevalence of SARS-CoV-2 in a Sample of Patients and Salaried Staff From a French Anti-cancer Center at the End of the Containment Period of the SARS-CoV-2 Pandemic,Study of the Specific Seroprevalence of SARS-CoV-2 in a Sample of Patients and Salaried Staff From a French Anti-cancer Center at the End of the Containment Period of the SARS-CoV-2 Pandemic,Completed,NA,NA,1680,Actual,Centre Georges Francois Leclerc,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,blood samples,NA,NA,NA,Undecided,NA,2021-10-12T06:57:34Z,2021-10-12T06:57:34Z,1119073,NCT04517097,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-18,NA,NA,2021-01-28,2020-08-18,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2021-01-28,2021-02-01,Actual,"May 21, 2020",Actual,2020-05-21,January 2021,2021-01-31,"January 31, 2022",Anticipated,2022-01-31,"December 31, 2021",Anticipated,2021-12-31,NA,Interventional,NA,NA,Transpulmonary Pressure Measurements in Intubated Children With Covid-19 Respiratory Failure,Transpulmonary Pressure Measurements in Intubated Children With Covid-19 Respiratory Failure,Recruiting,NA,Not Applicable,10,Anticipated,Mayo Clinic,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:16Z,2021-10-12T06:57:16Z,1117850,NCT04519411,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-03,NA,NA,2021-07-27,2020-08-18,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2021-07-27,2021-08-03,Actual,"September 1, 2020",Actual,2020-09-01,July 2021,2021-07-31,"March 31, 2021",Actual,2021-03-31,"January 30, 2021",Actual,2021-01-30,NA,Observational,NA,NA,Vitamin D Status and Immune-inflammatory Status in Different UK Populations With COVID-19 Infection,Retrospective Pilot Study of Vitamin D Status and Immune-inflammatory Status in Different UK Populations With COVID-19 Infection,Completed,NA,NA,27628,Actual,Guy's and St Thomas' NHS Foundation Trust,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:19Z,2021-10-12T06:57:19Z,1118155,NCT04519034,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-18,NA,NA,2021-02-02,2020-08-18,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2021-02-02,2021-02-05,Actual,"July 1, 2020",Actual,2020-07-01,July 2020,2020-07-31,"July 31, 2023",Anticipated,2023-07-31,"December 31, 2022",Anticipated,2022-12-31,NA,Observational,NA,NA,Study for Quantitative Analysis of the Recovered COVID-19 Patients by 18F-FDG-PET/CT,"Single-center, Open, Prospective, Randomized Pilot Study for Quantitative Analysis of Whole Body Inflammatory Lesions in Recovered COVID-19 Patients by 18F-FDG-PET/CT","Active, not recruiting",NA,NA,60,Actual,"Fifth Affiliated Hospital, Sun Yat-Sen University",NA,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:17Z,2021-10-12T06:57:17Z,1117966,NCT04519255,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-08-17,NA,NA,2021-05-17,2020-08-17,2020-08-19,Actual,NA,NA,NA,NA,NA,NA,2021-05-17,2021-05-18,Actual,"April 1, 2020",Actual,2020-04-01,May 2021,2021-05-31,"March 31, 2021",Actual,2021-03-31,"June 14, 2020",Actual,2020-06-14,NA,Observational,NA,NA,SARS-CoV-2 /COVID-19 Admission Screening in a University Hospital Setting,SARS-CoV-2 /COVID-19 Admission Screening in a University Hospital Setting (Covid-Screen Quality Control Study),Completed,NA,NA,4099,Actual,"University Hospital, Basel, Switzerland",NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:57:15Z,2021-10-12T06:57:15Z,1117812,NCT04519372,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-05-07,NA,NA,2021-03-21,2020-08-19,2020-08-20,Actual,NA,NA,NA,NA,NA,NA,2021-03-21,2021-03-24,Actual,"June 19, 2020",Actual,2020-06-19,March 2021,2021-03-31,"February 8, 2021",Actual,2021-02-08,"January 26, 2021",Actual,2021-01-26,NA,Interventional,NA,NA,SARS-CoV-2 Antibodies Based IVIG Therapy for COVID-19 Patients,Severe Acute Respiratory Syndrome Corona Virus 2 (SARS-CoV-2) Antibodies Based Intravenous Immunoglobulin (IVIG) Therapy for Severe and Critically Ill COVID-19 Patients,Completed,NA,Phase 1/Phase 2,50,Actual,Dow University of Health Sciences,NA,5,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:57:03Z,2021-10-12T06:57:03Z,1117023,NCT04521309,Coronavirus Infections,coronavirus infections,mesh-ancestor
